id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G3-NO-001,G3,K1,NO,primærproduksjon,"Forskningsartikkel anslår ca. 30 000 internasjonale sesongarbeidere på norske gårder per sesong, særlig hortikultur fra Sentral-/Øst-Europa.",tall,30000,personer per sesong (estimat),2020,https://doi.org/10.33134/njmr.485,Nordic Journal of Migration Research / Helsinki University Press,2022,avsnitt intro,"an estimated 30,000 international labour migrants are hired each season on Norwegian farms",primær,lest_i_kilde,hvitbok_kap7,Estimat ikke registertotal; år i teksten knyttet til situasjonsbeskrivelse rundt 2020
G3-NO-002,G3,K1,NO,primærproduksjon,UDI innvilget 4431 sesongtillatelser til tredjelandsborgere i januar–desember 2025 (EØS-borgere trenger ikke slik tillatelse).,tall,4431,innvilgede sesongtillatelser,2025,https://www.udi.no/en/statistics-and-analysis/statistics/innvilgede-arbeidstillatelser-for-tredjelandsborgere-etter-statsborgerskap-og-type-tillatelse-2025/,UDI,2025,tabell totalt Sesong,Totalt | 3593 | 4431 | 2206 | 10230,primær,lest_i_kilde,indikator,Dekker kun tredjeland; Vietnam 2013 sesongtillatelser
G3-NO-003,G3,K1,NO,primærproduksjon,"UDI definerer sesongarbeid som bl.a. jordbruk, skogbruk, fiskeforedling, hortikultur og turisme.",fakta,,,https://www.udi.no/en/answer-pages/svarside-sesong/,UDI,u.å.,FAQ sesongarbeid,"Examples of seasonal work is work in the agricultural industry, the forestry industry, the fishing industry, and the horticulture industry.",primær,lest_i_kilde,bakgrunn,Regeldefinisjon ikke omfangstall
G3-NO-004,G3,K1,NO,primærproduksjon,Gjennomsnittsalder for personlige jordbruksbrukere i Norge var 53 år i 2025 (34 628 brukere totalt).,tall,53,år (gjennomsnitt); n=34628 brukere,2025,https://www.ssb.no/statbank/table/05977,SSB,2025 (oppdatert 23.01.2026),tabell I alt,Gjennomsnittsalder alle personlege brukarar | 53,primær,lest_i_kilde,indikator,Tabell 05977
G3-NO-005,G3,K1,NO,primærproduksjon,"LMD-arbeidsgruppe (mars 2023): økte utfordringer med tilgang på klinisk veterinærtjeneste for produksjonsdyr, særlig der besetninger er få og spredte.",fakta,,,2023,https://regjeringen.no/contentassets/1807e0e77eb443fbbdf53cf24a7132a9/access-to-veterinary-services-in-norway-summary-and-mandate.pdf,Landbruks- og matdepartementet (arbeidsgruppe),2023-03-10,Summary §1,"challenges with availability for veterinarians to perform clinical veterinary practice on food producing animals … have increased noticeably",primær,lest_i_kilde,hvitbok_kap7,Ikke nasjonalt antall ubesatte vakter i sammendraget
G3-NO-006,G3,K1,NO,primærproduksjon,Kommuner har lovpålagt ansvar for tilfredsstillende tilgang til dyrehelsepersonell og veterinærvakt utenom ordinær arbeidstid.,policy_mål,,,2023,https://regjeringen.no/contentassets/1807e0e77eb443fbbdf53cf24a7132a9/access-to-veterinary-services-in-norway-summary-and-mandate.pdf,LMD arbeidsgruppe,2023-03-10,Mandate bakgrunn,"municipalities must ensure satisfactory access to services from animal health personnel",primær,lest_i_kilde,bakgrunn,Juridisk plikt sitert i rapportmandat
G3-NO-007,G3,K1,NO,forbruk / husholdning,DSB anbefaler at flest mulig er forberedt på å klare seg selv i én uke.,policy_mål,7,dager,2024,https://www.dsb.no/sikkerhverdag/egenberedskap/slik-bidrar-du-til-norges-beredskap/,DSB,u.å. (lest 2026-09-14),ingress,"Norske myndigheter anbefaler at flest mulig er forberedt på å klare seg selv i en uke.",primær,lest_i_kilde,hvitbok_kap10,Gjeldende norsk råd; motstrid med SPEK-omtale av 3 dager
G3-NO-008,G3,K1,NO,forbruk / husholdning,"DSB-sjekkliste inkluderer mat som tåler romtemperatur og grill, kokeapparat eller stormkjøkken.",fakta,,,https://www.dsb.no/sikkerhverdag/egenberedskap/slik-bidrar-du-til-norges-beredskap/,DSB,u.å.,Sjekkliste,"Mat som tåler lagring i romtemperatur. Grill, kokeapparat eller stormkjøkken.",primær,lest_i_kilde,hvitbok_kap10,Kompetanse til alternativ tilberedning forutsatt
G3-NO-009,G3,K1,NO,forbruk / husholdning,I DSB/Ipsos-undersøkelse uke 50–51 2023 hadde 70 % tørrmat/boksmat som dekker matbehov i noen dager.,tall,70,prosent av respondenter,2023,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/rapporter/rapport-om-husholdningers-egenberedskap-2024/,DSB / Ipsos,2024 (data 2023),figur ting i boligen,Tørrmat/boksmat som dekker matbehov i noen dager | 70,primær,lest_i_kilde,indikator,Ca. 1000 spurte; feilmargin ca. ±1,4–3,2 pp
G3-NO-010,G3,K1,NO,forbruk / husholdning,52 % hadde grill eller kokeapparat på gass eller rødsprit (DSB 2023-data).,tall,52,prosent,2023,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/rapporter/rapport-om-husholdningers-egenberedskap-2024/,DSB / Ipsos,2024,figur ting i boligen,Grill eller kokeapparat på gass eller rødsprit. | 52,primær,lest_i_kilde,indikator,Proxy for tilberedningskapasitet uten strøm
G3-NO-011,G3,K1,NO,forbruk / husholdning,47 % hadde lagret drikkevann i flasker/beholdere (opp fra 27 % i 2019).,tall,47,prosent,2023,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/rapporter/rapport-om-husholdningers-egenberedskap-2024/,DSB / Ipsos,2024,sammendrag,"Nesten halvparten (47 %) har lagret drikkevann, andelen har økt jevnt siden 2019, da den kun var 27 %.",primær,lest_i_kilde,indikator,
G3-NO-012,G3,K1,NO,forbruk / husholdning,52 % vurderte seg som litt eller ikke godt forberedt på å klare seg i 3 døgn uten strøm/tele/internett/vann; medianhushold estimerte 4 døgn.,tall,52,prosent (selvvurdert); median 4 døgn,2023,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/rapporter/rapport-om-husholdningers-egenberedskap-2024/,DSB / Ipsos,2024,sammendrag,"Over halvparten (52 %) er litt eller ikke godt forberedt på å klare seg i 3 døgn … Medianhusholdet estimerer at de kan klarer seg i 4 døgn",primær,lest_i_kilde,indikator,Selvvurdering ikke observasjon
G3-NO-013,G3,K1,NO,forbruk / husholdning,58 % oppgir at de kan grunnleggende førstehjelp; 51 % har tenkt gjennom lengre strømbrudd.,tall,58,prosent (førstehjelp); 51 % strøm,2023,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/rapporter/rapport-om-husholdningers-egenberedskap-2024/,DSB / Ipsos,2024,sammendrag,"6 av 10 kan grunnleggende førstehjelp (58 %) og halvparten har tenkt gjennom hva de skal gjøre ved lengre bortfall av strøm (51 %).",primær,lest_i_kilde,indikator,
G3-NO-014,G3,K1,NO,foredling,"NHO Mat og Drikke: to av tre bedrifter oppgir udekket kompetansebehov; aldrende arbeidsstyrke og lav søkning til yrkesfag fremheves.",tall,2/3,andel bedrifter (selvrapportert),,https://www.nhomd.no/politikk/utdanning-og-kompetanse/,NHO Mat og Drikke,side oppdatert 2026-08-03,ingress,"To av tre bedrifter i NHO Mat og Drikke oppgir å ha et udekket kompetansebehov.",sekundær,lest_i_kilde,hvitbok_kap7,Bransjeorg.; underliggende barometerår ikke spesifisert på siden
