id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G4-NF-001,G4,K3,Norden,—,"NordForsk-utlysningen krever at prosjekteier er forskningsutførende organisasjon; Danmark kan ikke være prosjekteier, men danske partnere kan finansieres.",policy_mål,,,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Eligibility / Funding,"the project owner cannot be from Denmark, but from Norway, Sweden, Finland",primær,lest_i_kilde,søknad,Leset 2026-09-14
G4-NF-002,G4,K3,Norden,,Utlysningen er ikke rettet mot implementering eller pilotering; prosjekteier må være research performing organisation.,policy_mål,,,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Aim of the call,The call is not aimed at implementation or piloting.,primær,lest_i_kilde,søknad,
G4-NO-001,G4,K3,NO,primærproduksjon;foredling,NMBU Sustainability Arena for Sustainable Food Systems er aktiv 1.9.2022–1.9.2026 som tverrfaglig arena for bærekraftige matsystemer.,fakta,,,2022,https://www.nmbu.no/en/research/projects/nmbu-sustainability-arena-sustainable-food-systems,NMBU,2022,Project timeframe,01 Sep 2022 - 01 Sep 2026,primær,lest_i_kilde,aktørkart,
G4-NO-002,G4,K3,NO,primærproduksjon;avfall og sidestrømmer,"FeedLoop (NMBU, NFR) redesignen lokale matsystemer i Tolga og Steinkjer for sirkulær bruk av biomasse og redusert fôr–mat-konflikt (2025–2027).",fakta,,,2025,https://www.nmbu.no/en/research/projects/feedloop,NMBU,2025,Timeframe / About,01 Jan 2025 - 31 Dec 2027,primær,lest_i_kilde,hvitbok_kap7,
G4-NO-003,G4,K3,NO,primærproduksjon;foredling,Gene2Bread skal øke norsk selvforsyning av mathvete for matsikkerhet og beredskap; ledes av Nofima med NMBU/NIBIO og industripartnere.,fakta,,,2024,https://www.nmbu.no/en/research/projects/gene2bread,NMBU,2024,Ingress / Other participants,increase self-sufficiency in milling wheat in Norway,primær,lest_i_kilde,hvitbok_kap7,"Industri: Norgesmøllene, Bakehuset, Orkla m.fl."
G4-NO-004,G4,K3,NO,"forbruk, storhusholdning og kjøkken",NMBU tilbyr toårig master Sustainable Food Systems (120 ECTS) med fokus på systemanalyse og transformasjon av matsystemer.,fakta,,,2026,https://www.nmbu.no/en/studies/master-2-year/sustainable-food-systems,NMBU,,Programme page,"understand, analyse and change food systems",primær,lest_i_kilde,søknad,Ikke dedikert beredskapstittel
G4-NO-005,G4,K3,NO,foredling;distribusjon og handel,"Nofima leder nordisk prosjekt Akvatiske matsystemer i Norden (des 2024–jan 2026, Nordisk ministerråd) som kartlegger akvatiske systemers rolle for matsikkerhet og beredskap.",fakta,,,2024,https://nofima.no/prosjekt/akvatiske-matsystemer-i-norden/,Nofima,2024-12-01,Mål pkt 2,kartlegge rollen til akvatiske matsystemer for matsikkerhet og beredskap,primær,lest_i_kilde,aktørkart,"Partnere bl.a. Lund, Aarhus, KU, Luke"
G4-NO-006,G4,K3,NO,foredling;import og innsatsvarer,"Prosjektet The role of seafood in Norwegian food security (FHF, 2025–2027) skal gi forskningsbasert dokumentasjon og råd for å styrke matsikkerhet.",fakta,,,2025,https://nofima.com/projects/the-role-of-seafood-in-norwegian-food-security/,Nofima,2025-08-13,Objectives,provide the basis for concrete advice to strengthen security,primær,lest_i_kilde,søknad,"Partnere FFI, HI, TØI"
G4-NO-007,G4,K3,NO,primærproduksjon,"ResNor/Resilient North (NFR, 2025–2029, ledet UiT, Nofima partner) skal styrke kunnskap om matproduksjon og matsikkerhet i Nord-Norge.",fakta,,,2025,https://nofima.com/projects/resilient-north-food-production-food-safety-and-public-health-in-northern-norway/,Nofima,2025,Background/Objectives,strengthen food production and food security in Northern Norway,primær,lest_i_kilde,aktørkart,
G4-NO-008,G4,K3,NO,import og innsatsvarer;primærproduksjon,"LMD formidlet NIBIO-rapport om norsk matsikkerhet og forsyningsberedskap på regjeringen.no (2021), inkludert tre pilarer for matsikkerhet.",case,,,2021,https://www.regjeringen.no/no/dokumentarkiv/regjeringen-solberg/aktuelt-regjeringen-solberg/lmd/nyheter/2021/sept-21/norsk-matsikkerhet-i-en-ustabil-verden/id2873090/,Landbruks- og matdepartementet,2021-09-30,Nyhetstekst,I den ferske rapporten fra NIBIO har forskere analysert hva som kan utfordre beredskapen,primær,lest_i_kilde,hvitbok_kap10,Dokumentert konvertering myndighet
G4-NO-009,G4,K3,NO,import og innsatsvarer;foredling,"NFD publiserte OE-rapport (2023) om sårbarhet i globale forsyningskjeder for matvarer, utført med NIBIO, SINTEF Ocean og NUPI.",case,,,2023,https://www.regjeringen.no/no/dokumenter/en-gjennomgang-av-sarbarheten-i-globale-forsyningskjeder-for-matvarer/id2999602/,Nærings- og fiskeridepartementet,2023,Dokumentside,"i samarbeid med Norsk institutt for bioøkonomi (NIBIO), SINTEF Ocean",primær,lest_i_kilde,hvitbok_kap10,Myndighetsoppdrag = konvertering
G4-NO-010,G4,K3,NO,"primærproduksjon;forbruk, storhusholdning og kjøkken","BestPrepared (NIBIO, NFR, 2026–2030) etablerer nødshager/living labs for mat- og samfunnsberedskap via urbant landbruk og sanking.",fakta,,,2026,https://www.nibio.no/en/projects/bestprepared,NIBIO,2026,Project page,establish emergency gardens,primær,lest_i_kilde,aktørkart,
G4-NO-011,G4,K3,NO,primærproduksjon;distribusjon og handel,SINTEF-rapporten Fra jord til soldatens bord (2026) analyserer lokal matberedskap i totalforsvarsperspektiv på Fosen/Ørland.,evaluering,,,2026,https://www.sintef.no/publikasjoner/publikasjon/019db44b1a56-5523b3bf-28bf-4e3a-9e26-119a00bdfa5c/,SINTEF Digital,2026-04-21,Sammendrag,lokal og regional matproduksjon kan spille en viktigere rolle i samfunnets beredskap,primær,lest_i_kilde,hvitbok_kap7,SINTEF Ocean også forfatterinstitusjon
G4-NO-012,G4,K3,NO,primærproduksjon,"LoMaTo er forankret i intensjonsavtalen «Fra jord til soldatens bord» mellom Ørland flystasjon, kommune, Statsforvalteren, fylkeskommune og Bondelaget.",case,,,2026,https://www.sintef.no/siste-nytt/2026/-lokalprodusert-mat-til-forsvaret-er-den-nye-beredskapen/,SINTEF / Gemini,2026-05-27,Om prosjektet,Fra jord til soldatens bord,primær,lest_i_kilde,hvitbok_kap10,Konvertering til forsvars-/kommunesamarbeid
G4-NO-013,G4,K3,NO,"primærproduksjon;forbruk, storhusholdning og kjøkken",Ruralis Pathways to Preparedness (2026–2029) undersøker hverdagsberedskap inkludert bønders strategier og sanking for matsikkerhet.,fakta,,,2026,https://ruralis.no/en/projects/veier-til-beredskap-nye-perspektiver-pa-sosiookologisk-motstandsdyktighet-og-hverdagslig-sivil-beredskap/,Ruralis,2026,Project period,contribute to increased food security,primær,lest_i_kilde,aktørkart,
