url,source,decision,reviewedAt,reviewMethod,evidenceUrl,localEvidencePath,notes
https://civita.no/okonomi/naeringspolitikk/svak-konkurranse-som-fortjent/,report_canonical:civita-manifest-debatt,browser_verified_tool_blocked,2026-05-20,web_open,https://civita.no/okonomi/naeringspolitikk/svak-konkurranse-som-fortjent/,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Svak konkurranse – som fortjent - Civita.pdf,Web rendering verified the article while CLI fetch returns Cloudflare challenge
https://salford-repository.worktribe.com/output/1322952/sustainable-food-procurement-in-public-catering-comparison-of-the-uk-with-denmark-sweden,thesis:stein-2022,browser_verified_tool_blocked,2026-05-20,web_open,https://salford-repository.worktribe.com/output/1322952/sustainable-food-procurement-in-public-catering-comparison-of-the-uk-with-denmark-sweden,research/arkiv-sortert/Food Research Process 20.04.26/07_Academic_Research_And_Theses/pdf  MARK STEIN  PhD  24  OCT  22.pdf,Web rendering verified the repository record while CLI fetch returns Cloudflare challenge
https://skemman.is/bitstream/1946/7794/3/OrriJohannsson%20FoodSecurity%20Final.pdf,thesis:johannsson-2011,citable_mirror_or_local_evidence,2026-05-20,pdftotext-local-and-registry,https://openpolar.no/Record/ftskemman%3Aoai%3Askemman.is%3A1946%2F7794,research/arkiv-sortert/Food Research Process 20.04.26/07_Academic_Research_And_Theses/OrriJohannsson FoodSecurity Final.pdf,Local full PDF text verifies the thesis and mirror registry points to the Skemman handle
https://skemman.is/handle/1946/32307,thesis:burgherr-2019,citable_mirror_or_local_evidence,2026-05-20,agris-record,https://agris.fao.org/search/en/providers/125293/records/6748c28b7625988a37209b82,,FAO AGRIS record verifies the title author provider and handle while Skemman blocks CLI checks
https://skemman.is/handle/1946/26754,thesis:sigurdardottir-2017,citable_mirror_or_local_evidence,2026-05-20,official-report-reference,https://www.umhverfisstofnun.is/library/Skrar/utgefid-efni/Annad/Food_waste_in_Iceland_2022_UPD.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Lokaverkefni_ _Predicting Household Food Waste Reduction_ An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory_ _ Skemman.pdf,Official Iceland food waste report references the thesis and repo has local Skemman page print while Skemman blocks CLI checks
https://pub.norden.org/nord2023-003/,report_canonical:nnr2023-nordic-nutrition-recommendations,citable_mirror_or_local_evidence,2026-07-02,local-source-and-pdf-url,https://pub.norden.org/nord2023-003/nord2023-003.pdf,research/bibliotek/nordisk/nnr2023-nordic-nutrition-recommendations.md,Local source note and direct NNR2023 PDF URL cover the blocked landing page
https://www.norden.org/en/publication/normo-2025-nordic-monitoring-2014-2024,report_canonical:normo-2025-nordic-monitoring,citable_mirror_or_local_evidence,2026-07-02,local-source-and-workbook,https://pub.norden.org/nord2025-026/,research/bibliotek/nordisk/normo-2025-kosthold-overvekt.md,Local source note plus archived Appendix 6 workbook cover the blocked landing page
https://www.norden.org/no/declaration/karlstaddeklarasjonen,report_canonical:karlstad-declaration-matberedskap-2024,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/no/declaration/karlstaddeklarasjonen,research/bibliotek/nordisk/karlstad-deklarasjonen-matberedskap-2024.md,Local source note carries the same official declaration URL
https://www.norden.org/en/declaration/our-vision-2030,document:external/vision-2030-declaration,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/declaration/our-vision-2030,research/external/vision-2030-declaration.md,Local restored source carries the same official declaration URL
https://www.norden.org/en/information/action-plan-vision-2030,document:external/vision-2030-action-plan,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/information/action-plan-vision-2030,research/external/vision-2030-action-plan.md,Local restored source carries the same official action-plan URL
https://www.norden.org/en/publication/nordic-bioeconomy-programme,document:external/nmr-vision-2030,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/publication/nordic-bioeconomy-programme,research/external/nmr-vision-2030.md,Local restored source carries the same official publication URL
https://www.norden.org/en/publication/nordic-region-sustainable-and-integrated-region-our-vision-2030-status-report-2023,document:external/vision-2030-status-report-2023,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/publication/nordic-region-sustainable-and-integrated-region-our-vision-2030-status-report-2023,research/external/vision-2030-status-report-2023.md,Local restored source carries the same official status-report URL
https://www.norden.org/en/publication/nordic-indicators-our-vision-2030,document:external/vision-2030-indicators,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://pub.norden.org/politiknord2021-723/,research/external/vision-2030-indicators.md,Local restored source and online publication URL cover the blocked landing page
https://pub.norden.org/temanord2025-502/3-waste-prevention-and-reuse-policies-in-eu-and-nordic-countries.html,document:bibliotek/sirkularitet/waste-prevention-nordics-2025,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://pub.norden.org/temanord2025-502/,research/bibliotek/sirkularitet/waste-prevention-nordics-2025.md,Local source note covers the blocked chapter URL
https://www.norden.org/en/publication/nordic-food-transition,document:bibliotek/sirkularitet/regenerativt-landbruk-norden,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/publication/nordic-food-transition,research/bibliotek/sirkularitet/regenerativt-landbruk-norden.md,Local source note carries the same official publication URL
https://www.norden.org/en/publication/breaking-barriers-food-waste,document:bibliotek/sirkularitet/matsvinn-barrierer-nordiske-losninger-2024,citable_mirror_or_local_evidence,2026-07-02,local-source-restored,https://www.norden.org/en/publication/breaking-barriers-food-waste,research/bibliotek/sirkularitet/matsvinn-barrierer-nordiske-losninger-2024.md,Local source note carries the same official publication URL
https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2014/24_09_2014_SU_LEH.html,document:bibliotek/akademia/internasjonalt/tysk-dagligvaremarked-struktur,browser_verified_tool_blocked,2026-07-02,official-search-result,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2014/24_09_2014_SU_LEH.html,research/bibliotek/akademia/internasjonalt/tysk-dagligvaremarked-struktur.md,Official Bundeskartellamt search result verifies the press release while CLI health check returns HTTP 400
https://www.bundeskartellamt.de/SharedDocs/Publikation/DE/Sektoruntersuchungen/Sektoruntersuchung%20LEH-Zusammenfassung.html,document:bibliotek/akademia/internasjonalt/tysk-nachfragemacht-kjopermakt,citable_mirror_or_local_evidence,2026-07-02,official-search-result-and-pdf,https://www.bundeskartellamt.de/SharedDocs/Publikation/DE/Sektoruntersuchungen/Sektoruntersuchung%20LEH-Zusammenfassung.pdf?__blob=publicationFile&v=,research/bibliotek/akademia/internasjonalt/tysk-nachfragemacht-kjopermakt.md,Official Bundeskartellamt result and PDF verify the sector inquiry summary while CLI health check returns HTTP 400
