url,status,classification,final_url,source,source_priority,ms
"https://www.regjeringen.no/no/dokumenter/nou-2011-4/id640128/",200,ok,,report_canonical:nou-2011-4,5.0,197
"https://www.regjeringen.no/no/dokumenter/nou-2022-14/id2930144/",200,ok,,report_canonical:nou-2022-14,5.0,169
"https://nettsteder.regjeringen.no/matsystemutvalget/",200,ok,,report_canonical:matsystemutvalget-2026,5.0,285
"https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/",200,ok,,report_canonical:meld-st-11-selvforsyning,5.0,226
"https://www.regjeringen.no/no/dokumenter/meld.-st.-4-20242025/id3056808/",200,ok,,report_canonical:meld-st-4-dagligvare,5.0,246
"https://www.riksrevisjonen.no/rapporter-mappe/no-2023-2024/matsikkerhet-og-beredskap-pa-landbruksomradet/",200,ok,,report_canonical:riksrevisjonen-matsikkerhet-2023,5.0,259
"https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2024/02/sou-20248/",200,ok,,report_canonical:sou-2024-8-svensk-beredskap,5.0,417
"https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf",200,ok,,report_canonical:kt-dagligvarerapport-2024,5.0,44
"https://konkurransetilsynet.no/wp-content/uploads/2024/05/Rapport-marginstudie.pdf",200,ok,,report_canonical:kt-marginstudie-2024-del1,5.0,28
"https://konkurransetilsynet.no/wp-content/uploads/2025/01/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf",200,ok,,report_canonical:kt-marginstudie-2025-del2,5.0,32
"https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/",200,ok,,report_canonical:kt-markedsundersokelser-2026,5.0,220
"https://konkurransetilsynet.no/wp-content/uploads/2025/02/V2024-4-Offentlig-versjon-Coop-Norge-SA-Norgesgruppen-ASA-Rema-1000-AS-%E2%80%93-palegg-om-opphor-av-overtredelse-.pdf",200,ok,,report_canonical:kt-prisjeger-saken-2024,5.0,32
"https://konkurransetilsynet.no/dagligvare-forskjeller-i-innkjopspriser-ytterligere-redusert/",200,ok,,report_canonical:kt-innkjopspriser-2017-2023,5.0,558
"https://konkurransetilsynet.no/wp-content/uploads/2023/12/Utredning-om-prisjusteringsvinduer-2023.pdf",200,ok,,report_canonical:kt-prisjusteringsvinduer-2023,5.0,27
"https://konkurransetilsynet.no/wp-content/uploads/2018/08/NORDIC_FOOD_MARKETS.pdf",200,ok,,report_canonical:nordisk-food-markets-2005,5.0,42
"https://kfst.dk/konkurrenceforhold/afgoerelser/afgoerelser-paa-konkurrenceomraadet/raads-og-styrelsesafgoerelser/2025/20250326-salling-group-dele-af-coop-danmark",200,ok,,report_canonical:kfst-salling-coop-2025,5.0,125
"https://www.kkv.fi/en/current/press-releases/competition-act-provision-on-grocery-trade-became-effective-on-1st-of-january/",200,ok,,report_canonical:kkv-fi-4a-dominans,5.0,79
"https://www.samkeppni.is/urlausnir/skyrslur/",200,ok,"https://www.samkeppni.is/urlausnir/?flokkur=Sk%C3%BDrslur",report_canonical:is-markedsstruktur-2024,5.0,1039
"https://www.konkurrensverket.se/globalassets/dokument/informationsmaterial/rapporter-och-broschyrer/rapportserie/rapport_2024-5.pdf",403,blocked,,report_canonical:se-konkurrensverket-2024-5,5.0,90
"https://www.dagligvaretilsynet.no/s/dagligvare_rapport-yn2p.pdf",200,ok,"https://static1.squarespace.com/static/6527959bc1dfdb62d0b7e32f/t/6909d5ea40e13803f6ca892f/1762252266949/dagligvare_rapport.pdf",report_canonical:dt-samarbeidsklima-2025,5.0,157
"https://www.regjeringen.no/contentassets/06b381ba03a74b4e9c58822890f7cc2f/utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf",200,ok,,report_canonical:menon-funksjonelt-skille-2026,5.0,113
"https://www.coop.no/om-coop/virksomheten/arsrapport",200,ok,"https://www.coop.no/om-coop/aarsrapporter",report_canonical:coop-2024,5.0,76
"https://www.norgesgruppen.no/globalassets/finansiell-informasjon/rapporter/2024/ng_ars--og-barekraftsrapport-2024.pdf",200,ok,,report_canonical:norgesgruppen-2024-25,5.0,102
"https://www.reitanretail.no/om-oss/rapporter",200,ok,,report_canonical:reitan-2024-25,5.0,180
"https://asko.no/en/about-us/",200,ok,,report_canonical:asko-infrastruktur-2025,5.0,62
