entityType,entityId,fieldPath,companyId,companyName,personName,personKey,role,shareholderName,ownershipPct,country,orgNr,registrySource,recommendedSourcePath,reason
BoardMember,cmq8rssqb002iy4vm88168m7v,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Cecilie Myhre,cecilie-myhre,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssqb002hy4vmie68b6v9,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Filip Lorentzen,filip-lorentzen,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssq9002ey4vmv4ig2puu,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Guri Storvold,guri-storvold,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssq9002dy4vmewprqqx5,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Hilde Vatne,hilde-vatne,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssqa002fy4vm7vrp0g8e,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Jan Magne Borgen,jan-magne-borgen,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssq7002ay4vmsyrwmam3,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Johan Johannson,johan-johannson,styreleder,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssq8002by4vm84h3xc8k,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Liv Gisele Marchand,liv-gisele-marchand,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssqa002gy4vmhodj6pdm,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Martine Steinsholt,martine-steinsholt,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssqb002jy4vmw1mgqw1r,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Mats Gunnar Knudsen,mats-gunnar-knudsen,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmq8rssq8002cy4vmirej4i0a,,cmp8xysz20000xrvmbm4d5nat,NorgesGruppen ASA,Orjan Svanevik,orjan-svanevik,styremedlem,,,NO,819731322,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
