series_id,country,period,frequency,flow,group_code,group_label,source_name,dataset_or_table_id,unit,value,selection_rule,coverage,comparability,notes
se_meat_imports,SE,2015-01,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,708681.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-02,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,703940.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-03,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,840742.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-04,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,796948.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-05,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,822283.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-06,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,881688.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-07,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,821666.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-08,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,840531.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-09,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,832902.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-10,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,865539.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-11,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,859061.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2015-12,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,783359.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-01,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,757854.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-02,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,780409.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-03,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,869841.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-04,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,789178.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-05,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,850823.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-06,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,842372.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-07,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,771131.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-08,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,880472.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-09,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,893694.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-10,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,867200.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-11,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,860879.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2016-12,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,872615.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
se_meat_imports,SE,2017-01,monthly,imports,meat,Meat,SCB imports and exports CN monthly,ImpExpKNTotMan,SEK thousand,753166.000,02,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,SCB CN 2-digit import value proxy.
