Date,MonthCode,Value
2015-01,2015M01,69.5
2015-02,2015M02,70.9
2015-03,2015M03,69.9
2015-04,2015M04,70.2
2015-05,2015M05,71.3
2015-06,2015M06,72.1
2015-07,2015M07,73.4
2015-08,2015M08,72.8
2015-09,2015M09,72.9
2015-10,2015M10,72.2
2015-11,2015M11,72.7
2015-12,2015M12,70.5
2016-01,2016M01,70.8
2016-02,2016M02,73.2
2016-03,2016M03,70.8
2016-04,2016M04,72.9
2016-05,2016M05,73.0
2016-06,2016M06,73.7
2016-07,2016M07,75.9
2016-08,2016M08,75.1
2016-09,2016M09,74.8
2016-10,2016M10,74.5
2016-11,2016M11,73.8
2016-12,2016M12,71.7
2017-01,2017M01,72.2
2017-02,2017M02,73.3
2017-03,2017M03,72.9
2017-04,2017M04,71.4
2017-05,2017M05,73.5
2017-06,2017M06,74.4
2017-07,2017M07,76.4
2017-08,2017M08,73.8
2017-09,2017M09,73.4
2017-10,2017M10,73.6
2017-11,2017M11,73.3
2017-12,2017M12,72.2
2018-01,2018M01,74.0
2018-02,2018M02,75.5
2018-03,2018M03,74.1
2018-04,2018M04,74.2
2018-05,2018M05,74.3
2018-06,2018M06,74.7
2018-07,2018M07,77.4
2018-08,2018M08,76.2
2018-09,2018M09,75.9
2018-10,2018M10,75.3
2018-11,2018M11,76.4
2018-12,2018M12,74.6
2019-01,2019M01,74.9
2019-02,2019M02,77.0
2019-03,2019M03,76.2
2019-04,2019M04,75.6
2019-05,2019M05,75.0
2019-06,2019M06,75.6
2019-07,2019M07,78.8
2019-08,2019M08,76.9
2019-09,2019M09,76.5
2019-10,2019M10,75.6
2019-11,2019M11,75.8
2019-12,2019M12,74.3
2020-01,2020M01,76.5
2020-02,2020M02,78.5
2020-03,2020M03,78.3
2020-04,2020M04,79.0
2020-05,2020M05,78.5
2020-06,2020M06,77.9
2020-07,2020M07,80.5
2020-08,2020M08,79.8
2020-09,2020M09,79.4
2020-10,2020M10,78.7
2020-11,2020M11,78.4
2020-12,2020M12,76.4
2021-01,2021M01,77.0
2021-02,2021M02,78.6
2021-03,2021M03,78.1
2021-04,2021M04,77.4
2021-05,2021M05,77.0
2021-06,2021M06,76.5
2021-07,2021M07,78.2
2021-08,2021M08,77.5
2021-09,2021M09,76.4
2021-10,2021M10,75.6
2021-11,2021M11,75.6
2021-12,2021M12,74.9
2022-01,2022M01,75.8
2022-02,2022M02,79.3
2022-03,2022M03,78.1
2022-04,2022M04,78.7
2022-05,2022M05,79.0
2022-06,2022M06,80.3
2022-07,2022M07,86.4
2022-08,2022M08,85.5
2022-09,2022M09,85.6
2022-10,2022M10,85.5
2022-11,2022M11,85.1
2022-12,2022M12,83.5
2023-01,2023M01,84.9
2023-02,2023M02,86.3
2023-03,2023M03,84.8
2023-04,2023M04,87.0
2023-05,2023M05,89.0
2023-06,2023M06,91.1
2023-07,2023M07,94.0
2023-08,2023M08,93.1
2023-09,2023M09,92.0
2023-10,2023M10,92.8
2023-11,2023M11,92.9
2023-12,2023M12,91.0
2024-01,2024M01,92.3
2024-02,2024M02,91.7
2024-03,2024M03,90.0
2024-04,2024M04,92.9
2024-05,2024M05,93.8
2024-06,2024M06,95.6
2024-07,2024M07,98.7
2024-08,2024M08,97.3
2024-09,2024M09,95.7
2024-10,2024M10,96.4
2024-11,2024M11,96.8
2024-12,2024M12,94.6
2025-01,2025M01,96.9
2025-02,2025M02,98.6
2025-03,2025M03,97.8
2025-04,2025M04,96.0
2025-05,2025M05,98.7
2025-06,2025M06,100.1
2025-07,2025M07,104.5
2025-08,2025M08,102.6
2025-09,2025M09,101.7
2025-10,2025M10,102.3
2025-11,2025M11,101.3
2025-12,2025M12,99.6
2026-01,2026M01,101.0
2026-02,2026M02,101.9
