id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G5-ALL-001,G5,K4,ALL,tverrgaende,"FAO RIMA måler husholdningsresiliens via fire søyler inkludert Adaptive Capacity med spørsmål om utdanning og trening.",fakta,,,,"https://openknowledge.fao.org/server/api/core/bitstreams/381c85aa-9de1-434b-8928-f6c92ee633b0/content",FAO,ukjent (kortskjema),s.1-2 RIMA short,"Modules required... Adaptive Capacity (AC)",primær,lest_i_kilde,indikator,Kompetanseproxier på husholdningsnivå; ikke nordisk offisiell serie
G5-ALL-002,G5,K4,ALL,primærproduksjon,"RIMA Adaptive Capacity inkluderer antall år formell utdanning for husholdningsmedlemmet med høyest utdanning.",fakta,,,,"https://openknowledge.fao.org/server/api/core/bitstreams/381c85aa-9de1-434b-8928-f6c92ee633b0/content",FAO,ukjent,Q18a,"How many years has the household member with the highest level of education attended formal school?",primær,lest_i_kilde,indikator,
G5-ALL-003,G5,K4,ALL,primærproduksjon,"RIMA spør om husholdningen har mottatt trening siste 12 måneder.",fakta,,,,"https://openknowledge.fao.org/server/api/core/bitstreams/381c85aa-9de1-434b-8928-f6c92ee633b0/content",FAO,ukjent,Q24a,"Have the household members received any training in the last 12 months?",primær,lest_i_kilde,indikator,
G5-ALL-004,G5,K4,ALL,tverrgaende,"SOFA 2021 introduserer et sett indikatorer for nasjonal agrifood-systemresiliens for over 140 land.",fakta,,,,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,rapportens formål/åpning,"Introduces a suite of indicators for over 140 countries, measuring resilience of national agrifood systems",primær,lest_i_kilde,indikator,Også i SOFA ppt-sammendrag
G5-ALL-005,G5,K4,ALL,primærproduksjon,"SOFA 2021 PPFI måler absorpsjonskapasitet i primærproduksjon via diversitet i produksjon og markeder.",fakta,,,,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Annex 3 Table A3.1,"PRIMARY PRODUCTION FLEXIBILITY INDEX (PPFI) FOR PROTEIN, 2016–2018",primær,lest_i_kilde,indikator,Ikke kompetanseindikator
G5-NO-006,G5,K4,NO,primærproduksjon,"Norges PPFI for protein (2016–2018) er 0,43 ifølge SOFA 2021 annex.",tall,0.43,indeks 0-1,2016-2018,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Table A3.1 Norway,"Norway ... 0.43",primær,lest_i_kilde,indikator,Total PPFI value
G5-SE-007,G5,K4,SE,primærproduksjon,"Sveriges PPFI for protein (2016–2018) er 0,61.",tall,0.61,indeks 0-1,2016-2018,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Table A3.1 Sweden,"Sweden ... 0.61",primær,lest_i_kilde,indikator,
G5-DK-008,G5,K4,DK,primærproduksjon,"Danmarks PPFI for protein (2016–2018) er 0,63.",tall,0.63,indeks 0-1,2016-2018,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Table A3.1 Denmark,"Denmark ... 0.63",primær,lest_i_kilde,indikator,
G5-FI-009,G5,K4,FI,primærproduksjon,"Finlands PPFI for protein (2016–2018) er 0,54.",tall,0.54,indeks 0-1,2016-2018,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Table A3.1 Finland,"Finland ... 0.54",primær,lest_i_kilde,indikator,
G5-IS-010,G5,K4,IS,primærproduksjon,"Islands PPFI for protein (2016–2018) er 0,31.",tall,0.31,indeks 0-1,2016-2018,"https://www.fao.org/3/cb4476en/cb4476en.pdf",FAO,2021,Table A3.1 Iceland,"Iceland ... 0.31",primær,lest_i_kilde,indikator,Lavest blant nordiske i tabellen
