candidate_id,country,proxy_component,year_or_period,value,unit,source_owner_claimed_in_local_note,local_source_path,local_source_title,evidence_status,confidence,review_status,target_use,notes
PROD-DK-001,DK,cereals_total,2024,7584600,tonnes,Statistics Denmark StatBank,https://api.statbank.dk/v1/tableinfo/HST77?lang=en,StatBank HST77 Harvest,official_primary_snapshot,high,primary_snapshot_confirmed,production_proxy_basket,"StatBank HST77 H100 reports cereals grain total production of 7584.6 million kg in 2024; equals 7584600 tonnes"
PROD-DK-002,DK,cereals_total,2023,7000000,tonnes,DST/Eurostat,research/norden/verdikjede/01-primaerproduksjon.md,FS2026-VK-001 Primærproduksjon,local_research,medium,needs_primary_check,production_proxy_basket,"Local note gives 2023 category table value and says 2023 was down 26 pct from 2022"
PROD-DK-003,DK,oats_mixed_grains_proxy,2024,274300,tonnes,Statistics Denmark StatBank,https://api.statbank.dk/v1/tableinfo/HST77?lang=en,StatBank HST77 Harvest,official_primary_snapshot,high,primary_snapshot_confirmed,oats_parity_proxy_with_caveat,"StatBank HST77 H170 reports Oats mixed grains and other grains production of 274.3 million kg in 2024; use only as caveated proxy, not pure oats"
PROD-DK-004,DK,cow_milk,2024,5767600000,kg,Statistics Denmark StatBank,https://api.statbank.dk/v1/tableinfo/ANI71?lang=en,StatBank ANI71 Production and use of milk,official_primary_snapshot,high,primary_snapshot_confirmed,production_proxy_basket,"ANI71 monthly Milk ex farm total sums to 5767.6 million kg in 2024; 2024 data is final per table footnote"
PROD-DK-005,DK,pork,2024,1726600,tonnes,Statistics Denmark StatBank,https://api.statbank.dk/v1/tableinfo/ANI51?lang=en,StatBank ANI51 Slaughterings and production of pigs,official_primary_snapshot,high,primary_snapshot_confirmed,production_proxy_basket,"ANI51 monthly Pigs total Production sums to 1726.6 million kg in 2024; equals 1726600 tonnes"
PROD-DK-006,DK,potatoes_all_hst77_categories,2024,2997600,tonnes,Statistics Denmark StatBank,https://api.statbank.dk/v1/tableinfo/HST77?lang=en,StatBank HST77 Harvest,official_primary_snapshot,high,primary_snapshot_confirmed,production_proxy_basket,"HST77 seed potatoes 301.1 million kg, potatoes for flour 2504.8 million kg and potatoes for human consumption 191.7 million kg in 2024; total proxy equals 2997600 tonnes and needs food-use caveat"
PROD-DK-007,DK,wild_capture_seafood_landings,2024,467478.631,tonnes,Statistics Denmark StatBank / Danish Fisheries Agency,https://api.statbank.dk/v1/tableinfo/FISK2?lang=en,StatBank FISK2 Landings by Danish vessels,official_primary_snapshot,high,primary_snapshot_confirmed,seafood_production_proxy,"FISK2 live weight landings by Danish vessels all species total in 2024 is 467478631 kg; use as landings proxy with vessel/landing caveat"
PROD-DK-008,DK,aquaculture,2024,46405,tonnes,Statistics Denmark StatBank / Danish Fisheries Agency,https://api.statbank.dk/v1/tableinfo/AKV11?lang=en,StatBank AKV11 Aquaculture,official_primary_snapshot,high,primary_snapshot_confirmed,seafood_production_proxy,"AKV11 all farms all species quantity in 2024 is 46405 tonnes"
PROD-IS-001,IS,wild_capture_seafood,2024,994000,tonnes,Statistics Iceland / Directorate of Fisheries,https://www.statice.is/publications/news-archive/fisheries/fish-catch-and-value-in-2024/,Fish catch and value in 2024 - Statistics Iceland,official_primary_snapshot,high,primary_snapshot_confirmed,seafood_first_production_proxy,"Official Statistics Iceland release gives just over 994k tonnes catch in 2024 and about 171bn ISK catch value; replaces local rounded 1.1m tonne candidate"
PROD-IS-002,IS,aquaculture,2024,54800,tonnes,Statistics Iceland / Icelandic Food and Veterinary Authority,https://statice.is/publications/news-archive/fisheries/aquaculture-in-2024/,Aquaculture in 2024 - Statistics Iceland,official_primary_snapshot,high,primary_snapshot_confirmed,seafood_first_production_proxy,"Official Statistics Iceland release gives nearly 54.8k tonnes aquaculture production in 2024 and 53.8bn ISK export value"
PROD-IS-003,IS,fish_processed_domestically,2024,60,pct_of_fish,local seafood note,research/norden/verdikjede/07-sjoemat.md,FS2026-VK-007 Sjømat,local_research,low,needs_primary_check,processing_proxy,"Method indicator rather than volume; needs primary confirmation"
PROD-IS-004,IS,cow_milk,2024,158139,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px,LAN10103 Production in agriculture from 1977,official_primary_snapshot,high,primary_snapshot_confirmed,agriculture_proxy_basket,"LAN10103 reports Milk tonnes = 158139 in 2024"
PROD-IS-005,IS,total_meat,2024,30643,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landframleidsla/LAN10201.px,LAN10201 Meat production from 1983,official_primary_snapshot,high,primary_snapshot_confirmed,agriculture_proxy_basket,"LAN10201 production tonnes in 2024 sum to 30643 across mutton/lamb 7966, beef 4860, horse 982, pork 6756 and poultry 10079"
PROD-IS-006,IS,greenhouse_vegetables_partial,2024,4232,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px,LAN10103 Production in agriculture from 1977,official_primary_snapshot,medium,primary_snapshot_confirmed_with_scope_caveat,agriculture_proxy_basket,"LAN10103 tomatoes 1362, cucumbers 2089, pepper 228 and lettuce 553 tonnes in 2024; partial greenhouse/vegetable proxy, not all vegetables"
PROD-IS-007,IS,potatoes,2024,5514,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px,LAN10103 Production in agriculture from 1977,official_primary_snapshot,high,primary_snapshot_confirmed,agriculture_proxy_basket,"LAN10103 reports Potatoes tonnes = 5514 in 2024"
PROD-IS-008,IS,cereal_grain,2024,5939,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px,LAN10103 Production in agriculture from 1977,official_primary_snapshot,high,primary_snapshot_confirmed,agriculture_proxy_context,"LAN10103 reports Cereal grain tonnes = 5939 in 2024; useful for explaining why Iceland is not comparable to larger Nordic cereal systems"
PROD-IS-009,IS,oats,2024,140,tonnes,Statistics Iceland PxWeb,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px,LAN10103 Production in agriculture from 1977,official_primary_snapshot,high,primary_snapshot_confirmed,oats_context_not_parity_series,"LAN10103 reports Oats tonnes = 140 in 2024; too small to use as comparable production parity lane except as context"
