"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-reko-norge","REKO NORGE","REKO Norge","935472350","NO","Akershus","Lillestrom","https://www.rekonorge.no/organisasjon-reko-norge","network","regenerativ/lokal praksis","distribution","unknown","direct trade network for local food without central operation of rings","lokalmat og direktesalg","active","2025","","","","https://data.brreg.no/enhetsregisteret/api/enheter/935472350; https://www.rekonorge.no/organisasjon-reko-norge","Ring producer and customer counts remain actor-gate; do not import as national market coverage","A","Type A","source-shortlist","candidate_enrichment","high","Do not say REKO Norge operates or controls local REKO rings.","2026-06-24"
"car-no-markedshager-norge","Markedshager Norge","","","NO","","","https://www.markedshage.no/markedshager-i-fylkene/","network","regenerativ/lokal praksis","primary","unknown","market garden map and knowledge network","smaskala gront","active","","","","","research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md; https://www.markedshage.no/markedshager-i-fylkene/","Map and network are not a complete active producer register","A/B","Type B","actor-gate","candidate","medium","Do not treat map points as verified active producers.","2026-06-24"
"car-no-smaskala-gront-norge","Smaskala Gront Norge","","","NO","","","https://www.markedshage.no/nb/nyheter/2026/06/smaskala-gront-norge-har-apnet-for-innmelding/","network","regenerativ/lokal praksis","support","unknown","producer organization for small-scale vegetables and direct-sale growers","gront frukt urter baer blomster","active","2026","","","","research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md; https://www.markedshage.no/nb/nyheter/2026/06/smaskala-gront-norge-har-apnet-for-innmelding/","Member list and coverage are not open","A/B","Type B","actor-gate","candidate","medium","Do not infer national membership coverage or active farm count.","2026-06-24"
"car-no-andelslandbruk-okoguiden","Okoguiden andelslandbruk candidates","Andelslandbruk","","NO","","","https://okologisknorge.no/oekoguiden/?act=search&categoryId=8467","network","regenerativ/lokal praksis","primary","unknown","CSA andelslandbruk candidate directory","andelslandbruk","unknown","","","","","research/_status/R12-ACTOR-003-andelslandbruk-etter-2023.md; https://okologisknorge.no/oekoguiden/","Directory candidates are not verified active farms","B","Type B","actor-gate","candidate","medium","Do not state directory counts as verified active 2026 farm count.","2026-06-24"
"car-no-kvann","KVANN KUNNSKAP OG VERN AV NYTTEVEKSTER I NORGE","KVANN; Norwegian Seed Savers","917965137","NO","Vestland","Ullensvang","https://kvann.no/om-oss/","network","regenerativ/lokal praksis","support","unknown","seed saving plant diversity and useful-plant network","fro nytteplanter flerarige vekster","active","2016","","6","","https://data.brreg.no/enhetsregisteret/api/enheter/917965137; https://kvann.no/om-oss/","Membership farm and demonstration-garden lists are not open","A","Type A","source-shortlist","candidate_enrichment","high","Do not treat KVANN as a complete garden farm or seed-producer list.","2026-06-24"
"car-no-kvann-skoghage-kartlegging","KVANN skoghage- og skogslandbrukskartlegging","KVANN agroforestry workstream","","NO","","","https://kvann.no/2026/06/11/er-du-interessert-i-skoghage-eller-skogslandbruk-agroforestry/","project","regenerativ/lokal praksis","support","unknown","interest mapping for forest garden and agroforestry practitioners","skogshage skogslandbruk regenerativ frukthage","active","2026","","","","https://kvann.no/2026/06/11/er-du-interessert-i-skoghage-eller-skogslandbruk-agroforestry/","Call for interest is not a verified participant ledger","A","Type B","actor-gate","context","medium","Do not infer that named or unnamed farms participate without their own locator.","2026-06-24"
"car-no-solhatt-okologiske-fro","SOLHATT OKOLOGISK HAGEBRUK AS","Solhatt; Solhatt okologiske fro","913997832","NO","Innlandet","Stange","https://solhatt.no/","company","regenerativ/lokal praksis","input","unknown","organic horticultural seed production and seed sales","okologiske fro gronnsaker urter blomster","active","2014","","10","","https://data.brreg.no/enhetsregisteret/api/enheter/913997832; https://solhatt.no/","Seed volume supplier network and circular impact need actor verification","A","Type A","source-shortlist","candidate_enrichment","high","Do not infer seed-network scale or food-system impact from product range alone.","2026-06-24"
"car-no-root2fork","Root2Fork","Agroecology Partnership Root2Fork","","Nordic","","","https://www.agroecologypartnership.eu/en/projects/root2fork/partners","project","regenerativ/lokal praksis","research","unknown","multi-strata agroforestry research project with Norwegian Seed Savers partner","skogshage agroforestry","active","2026","","","","https://www.agroecologypartnership.eu/en/projects/root2fork/partners","Norwegian farm nodes and realized practice outputs need separate locators","A","Type B","actor-gate","context","medium","Do not import Root2Fork as a farm or proof of Norwegian production capacity.","2026-06-24"
"car-no-norsk-genressurssenter","Norsk genressurssenter","NIBIO Norsk genressurssenter","","NO","","","https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter","public","FoU/nettverk","research","unknown","public genetic-resource coordination for useful plants livestock and forest trees","plantegenetiske ressurser","active","","","","","https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter","Institutional mandate only; not a practitioner or producer list","A","Type A","source-shortlist","context","high","Do not use as a local food producer or as evidence of farm-level activity.","2026-06-24"
"car-no-vestern-andelslandbruk-sa","VESTERN ANDELSLANDBRUK SA","Vestern Andelslandbruk","928084604","NO","Buskerud","Ringerike","https://okologisknorge.no/oekoguiden/vestern-andelslandbruk-sa/","cooperative","regenerativ/lokal praksis","primary","unknown","community supported vegetable production through member shares","okologiske gronnsaker andelslandbruk","active","2021","","","","https://data.brreg.no/enhetsregisteret/api/enheter/928084604; https://okologisknorge.no/oekoguiden/vestern-andelslandbruk-sa/","Okoguiden supports directory presence but active season and member status need actor-owned confirmation","A/B","Type B","actor-gate","candidate","medium","Do not call current 2026 activity verified without actor-owned season evidence.","2026-06-24"
"car-no-anda-andelsgard","Anda Andelsgard","ANDA ANDELSGARD TORMOD BO","985253463","NO","Rogaland","Klepp","https://okologisknorge.no/oekoguiden/anda-andelsgard/","farm","regenerativ/lokal praksis","primary","unknown","CSA vegetable and herb growing with member shares","gronnsaker urter poteter","active","","","","","https://data.brreg.no/enhetsregisteret/api/enheter/985253463; https://okologisknorge.no/oekoguiden/anda-andelsgard/","Directory text gives 2024 member number; current season and volume need actor confirmation","A/B","Type B","actor-gate","candidate","medium","Do not use 2024 share count as current scale or impact.","2026-06-24"
