"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-innovasjon-norge","INNOVASJON NORGE","Innovation Norway","986399445","NO","Oslo","Oslo","https://www.innovasjonnorge.no","public","finansiering/støtte","support","unknown","public funding and advisory instruments for green innovation consortia","biookonomi og sirkulaerokonomi projects","active","2003","","","","https://www.innovasjonnorge.no/tjeneste/gronn-plattform","Food-specific circular role is mainly through instruments and must not be treated as direct actor impact","A","Type A","source-shortlist","candidate","medium","Do not present funding eligibility or program ownership as realized circular food impact.","2026-06-24"
"car-no-norges-forskningsrad","NORGES FORSKNINGSRAD","Research Council of Norway","970141669","NO","Oslo","Oslo","https://www.forskningsradet.no","public","finansiering/støtte","support","unknown","research funding and portfolio coordination for food bioresources and circular economy","mat bioressurser sirkulaer biookonomi","active","","","","","https://www.forskningsradet.no/portefoljer/landbasert-mat-miljo-og-bioressurser/portefoljeplanen-for-landbasert-mat-miljo-og-bioressurser/prioriteringer/prioriteringer-i-forholdet-til-eus-rammeprogram/","Portfolio scope supports context but not specific project outcomes","A","Type A","source-shortlist","candidate","medium","Do not treat research portfolio priorities as proof of circular-food volumes or company impact.","2026-06-24"
"car-no-siva-sf","SIVA - SELSKAPET FOR INDUSTRIVEKST SF","Siva SF","966703032","NO","Trondelag","Trondheim","https://siva.no","public","finansiering/støtte","support","unknown","innovation infrastructure and test arenas from idea to industrial production","biofermentering biookonomi testarenaer","active","1992","","","","https://siva.no/vekstkraft/en-katapult-inn-i-fremtiden-2/","Food-system link is strongest through bioeconomy test infrastructure and Gronn plattform not direct production","A","Type A","source-shortlist","candidate","medium","Do not infer circular food outcomes from Siva infrastructure or test capacity alone.","2026-06-24"
"car-no-gronn-plattform","Gronn plattform","Green Platform","","NO","","","","project","finansiering/støtte","support","unknown","public instrument for research and innovation driven green transition consortia","biookonomi og sirkulaerokonomi consortia","active","2020","","","","https://www.forskningsradet.no/finansiering/gronn-plattform/","Program includes broad green transition beyond food and should stay context unless linked to specific food projects","A","Type A","source-shortlist","context","high","Do not count Gronn plattform as circular-food impact or as a producer.","2026-06-24"
"car-no-samfunnsoppdrag-baerekraftig-for","Samfunnsoppdraget baerekraftig for","Baerekraftig for","","NO","","","","project","sirkulært fôr","support","unknown","public mission and knowledge-building instrument for sustainable feed rules and ingredients","nye forravarer restrastoff insektsubstrat fermentering","active","2023","","","","https://www.forskningsradet.no/utlysninger/2025/kunnskapsgrunnlag-regelverksutvikling-barekraftig-for-husdyr/","Mission goal and call text are not evidence of adopted circular feed in market","A","Type A","source-shortlist","context","high","Do not treat mission targets or regulatory knowledge gaps as realized feed substitution.","2026-06-24"
"car-no-katapult-ocean-as","KATAPULT OCEAN AS","Katapult Ocean","921026749","NO","Oslo","Oslo","https://www.katapultocean.com","company","finansiering/støtte","support","unknown","ocean impact investment and acceleration for circular resources and food and water startups","ocean food water circular resources","active","2018","","","","https://www.katapultocean.com/investments","Food and circularity thesis is source-backed but individual portfolio food impact needs separate actor rows","A","Type B","source-shortlist","candidate","medium","Do not use investment thesis or portfolio size as evidence of circular food impact.","2026-06-24"
"car-no-kavlifondet","O. KAVLI OG KNUT KAVLIS ALLMENNYTTIGE FOND STI","Kavlifondet","938503583","NO","Vestland","Bergen","https://www.kavlifondet.no","foundation","finansiering/støtte","support","unknown","grant support for Matsentralen establishment and development","overskuddsmat redistribution infrastructure","active","1962","","","","https://www.kavlifondet.no/no/prosjekter/vi-stotter-matsentralen","Foundation support is enabling infrastructure not direct food handling","A","Type A","PCQ","ready_for_verified_import","high","Do not infer Matsentralen tonnage or social outcome from grant support alone.","2026-06-24"
"car-se-axfoundation","Axfoundation","","","SE","","","https://www.axfoundation.se","foundation","FoU/nettverk","support","multi","do-tank and test environment for circular food and feed projects","oat okara circular feed food side-streams","active","","","","","https://www.axfoundation.se/en/program/future-food","Nordic reference only and not Norwegian coverage","A","Type A","source-shortlist","context","high","Do not count Axfoundation as Norwegian market coverage or transfer Swedish project results to Norway.","2026-06-24"
"car-no-nibio","NIBIO - NORSK INSTITUTT FOR BIOOKONOMI","NIBIO; Norsk institutt for biookonomi","988983837","NO","Akershus","As","https://www.nibio.no","research","FoU/nettverk","research","multi","research on bioeconomy food feed bioresources and circular economy risks","mat for bioressurser matavfall biorest","active","","","","","https://www.nibio.no/tema/mat/en-helse-i-landbruks-og-matproduksjonen; https://www.nibio.no/om-nibio","Parent institute row must not be merged with Norsk genressurssenter sub-row without intent","A","Type A","PCQ","ready_for_verified_import","high","Do not treat NIBIO as a producer or claim circular benefit without project-specific evidence.","2026-06-24"
"car-no-sintef-as","SINTEF AS","SINTEF","919303808","NO","Trondelag","Trondheim","https://www.sintef.no","research","FoU/nettverk","research","multi","research on circular bioeconomy side-streams and feed ingredients","matrester slam overskuddsvarme industrielle sidestrommer","active","2017","","","","https://www.sintef.no/fagomrader/sirkulaer_biookonomi/; https://www.sintef.no/prosjekter/2026/sirkular-lavtrofisk-forproduksjon-fra-industrielle-sidestrommer-gp-circfeed/","SINTEF group and institute structure may require sub-entity split for project ownership","A","Type A","PCQ","ready_for_verified_import","high","Do not treat SINTEF research projects as production or market adoption.","2026-06-24"
"car-no-norsus","NORSUS NORSK INSTITUTT FOR BAEREKRAFTSFORSKNING AS","NORSUS","989861751","NO","Ostfold","Fredrikstad","https://norsus.no","research","FoU/nettverk","research","multi","food waste mapping methods and circular food-system research","matavfall matsvinn food value chain","active","2006","","","","https://norsus.no/en/forskningsomrade/matsvinn/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=NORSUS&size=5","Existing candidate can be upgraded for institution and food-waste research role but not impact totals","A","Type A","PCQ","ready_for_verified_import","high","Do not treat research institute as a waste handler or producer.","2026-06-24"
"car-no-nce-heidner-biocluster","NCE Heidner Biocluster","Heidner Biocluster","","NO","Innlandet","Hamar","https://heidner.no","network","FoU/nettverk","support","multi","cluster for green bioeconomy sustainable food production feed development and residual raw materials","forutvikling restrastoff baerekraftig matproduksjon","active","","","","","https://nic.innovasjonnorge.no/klynger","Cluster identity and mechanism are source-backed but legal entity and member list need follow-up","A","Type B","actor-gate","candidate","medium","Do not treat cluster membership as verified circular food actor count or impact.","2026-06-24"
