"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-gruten-as","Gruten AS","Gruten","","NO","Oslo","Oslo","https://www.gruten.no/om-gruten","company","konkurs/failure case","processing","R2","coffee-waste reuse and former oyster-mushroom production on spent coffee grounds","kaffegrut/oyster mushrooms/grow kits/soap/scrub","dormant","2014","","","","https://www.gruten.no/om-gruten; https://www.gruten.no/produkt/%C3%B8sterssopp-1","Actor-primary source says mushroom farm closed in 2023 and Gruten AS is to be wound down in summer 2025; clean Brreg entity match still not closed","A/C","Type A","source-shortlist","context","medium","Do not list Gruten as active food producer or treat historic coffee-ground mushroom production as current production.","2026-06-24"
"car-no-gront-fra-nord","GRONT FRA NORD AS","GFL KVAROY AS; GFN KVAROY AS","928487512","NO","Nordland","Fauske","","company","CEA/vertical farming","primary","R2","hydroponic production of lettuce herbs and mushrooms under reconstruction proceedings","salat/urter/sopp","restructured","2021","","","","https://data.brreg.no/enhetsregisteret/api/enheter/928487512; https://www.freshplaza.com/north-america/article/9814731/gront-fra-nord-enters-court-supervised-restructuring-following-biological-losses-and-regulatory-financing-setback/","Brreg verifies reconstruction proceedings from 2026-02-05; media/actor statements support operating-restart narrative but need court document follow-up","A/B","Type A","source-shortlist","candidate_enrichment","high","Do not call Gront fra Nord bankrupt; reconstruction is not proof that vertical farming cannot work.","2026-06-24"
"car-no-ecoprot-legacy","Ecoprot legacy","Ecoprot","","NO","Nordland","Meloy","","company","insekter","processing","R2","legacy insect pilot plant and competence acquired into Pronofa portfolio","insect pilot plant/organic side-stream protein","acquired","2019","","","","https://pronofa.no/wp-content/uploads/2023/02/Pronofa-ASA-Q3-2022.pdf; https://pronofa.no/wp-content/uploads/2023/06/Pronofa-ASA-Annual-Report-2022.pdf","No clean Brreg Ecoprot match found; use only as acquired legacy row and do not duplicate Pronofa capacity","A","Type A","source-shortlist","context","medium","Do not merge Ecoprot into Pronofa without preserving acquired legacy status and source.","2026-06-24"
"car-no-pronofa-asa","PRONOFA ASA","Pronofa","926501836","NO","Ostfold","Fredrikstad","https://pronofa.no/en/","company","alternativt protein","processing","R2","sustainable protein commercialisation with current Ciona/tunicate focus and historical insect portfolio separated","Ciona/Purply; historical insect assets","active","2021","","11","","https://data.brreg.no/enhetsregisteret/api/enheter/926501836; https://pronofa.no/en/; https://pronofa.no/wp-content/uploads/2023/06/Pronofa-ASA-Annual-Report-2022.pdf","Survival/update row: current active legal status does not prove active insect production; keep Ciona and Ecoprot/insect history source-separated","A","Type A","PCQ","ready_for_verified_import","high","Do not call insect production active under Pronofa without a current primary insect-production source.","2026-06-24"
"car-dk-enorm-biofactory-as","ENORM BioFactory A/S","ENORM Biofactory","38847147","DK","","Flemming","https://enormbiofactory.com/","company","konkurs/failure case","processing","R2","black soldier fly larvae converting food/agri residuals into feed ingredients","BSF larvae/insect meal/insect oil","bankrupt","2017","","","","https://enormbiofactory.com/; https://auktioner.dk/konkurs/s/enorm-biofactory-as; https://agfundernews.com/breaking-danish-insect-ag-firm-enorm-declared-bankrupt-after-failed-reconstruction-process","Bankruptcy source is legal-notice mirror/trade press, not directly fetched official CVR/Virk; official site still useful for mechanism and CVR identity","A/B","Type A","source-shortlist","context","medium","Do not treat ENORM bankruptcy as proof insect protein cannot work or as proof all assets/knowledge disappeared.","2026-06-24"
"car-se-mycorena-ab","Mycorena AB","Mycorena; Promyc","","SE","","Gothenburg","https://mycorena.com","company","konkurs/failure case","processing","R2","fungi fermentation and mycoprotein ingredients; bankruptcy followed by acquisition by Naplasol/VEOS","mycoprotein/Promyc","acquired","2017","","","","https://www.mynewsdesk.com/se/mycorena-ab/pressreleases/mycorena-ab-files-for-bankruptcy-towards-making-strategic-efforts-to-continue-operations-under-new-ownership-3334599; https://www.veos-group.com/en/node/82","Mycorena filed for bankruptcy in July 2024 and later the Swedish mycoprotein company was acquired by Naplasol; Swedish org number still not captured locally","A","Type A","source-shortlist","context","high","Do not erase bankruptcy status when noting acquisition; do not treat acquisition as proof all former operations continued unchanged.","2026-06-24"
"car-no-eat-foundation-sti","EAT FOUNDATION STI","EAT Foundation","916737122","NO","Oslo","Oslo","https://eatforum.org","foundation","FoU/nettverk","support","unknown","food-systems science convening and research platform entering orderly wind-down","food-system transformation knowledge/network","restructured","2015","","13","","https://data.brreg.no/enhetsregisteret/api/enheter/916737122; https://eatforum.org/press_release/norwegian-eat-foundation-to-wind-down-in-2026-while-exploring-newpathways-for-flagship-initiatives/","Brreg still shows legal entity active and not bankrupt; EAT primary press release says orderly wind-down during 2026 and exploration of new pathways","A","Type A","source-shortlist","context","high","Do not call EAT bankrupt or already closed; say wind-down announced while legal entity remains active in Brreg.","2026-06-24"
"car-global-infarm-restructured","Infarm restructuring case","Infarm Indoor Urban Farming Canada; Infarm GmbH","","Global","","","https://www.infarm.com","company","CEA/vertical farming","primary","R2","vertical-farming network scaled down through insolvency/restructuring and market exits","herbs/salad leaves/vertical farm sites","restructured","2013","","","","https://www.ksvadvisory.com/docs/default-source/insolvency-case-documents/infarm-indoor-urban-farming/noi-proceedings/reports/first-report-of-the-proposal-trustee-dated-november-8-2023---final.pdf?sfvrsn=6f363be1_4; research/external/r12/R12-GOV-004-implementeringsbarrierer-sirkulaere-mattiltak.md","KSV is strong for Canada proceedings and operations cited there, not a complete global legal status for every Infarm entity","A/B","Type A","source-shortlist","context","medium","Do not use Infarm as proof against all CEA; it is an implementation and capital-structure case.","2026-06-24"
"car-se-ljusgarda-ab","Ljusgarda AB","Ljusgaarda; Supernormal Greens","","SE","","Tibro","","company","CEA/vertical farming","primary","R2","vertical lettuce operation pivoting away from lettuce toward higher-margin crops after financing/offtake problems","lettuce; dietary supplement/cosmetics/pharma crops","restructured","","","","","research/evidence-pack/sirkular-konkurser/ljusgarda/media-impactloop.md","Secondary source only in this pass; no Swedish legal/registry status captured","B","Type B","source-shortlist","candidate","medium","Do not call Ljusgarda bankrupt from this source; classify as operational pivot/restructuring only.","2026-06-24"
"car-se-dug-foodtech-ab","DUG Foodtech AB","Veg of Lund; DUG","","SE","","Lund","","company","konkurs/failure case","processing","R2","potato-based dairy-alternative product company entering bankruptcy and asset sale","potato-based drinks/dairy alternative IP","bankrupt","","","","","research/evidence-pack/sirkular-konkurser/dug-foodtech/media-vegconomist-2026.md; research/evidence-pack/sirkular-konkurser/dug-foodtech/konkurs-bolagsverket.md","Local Bolagsverket capture is generic and not company-specific; bankruptcy detail is secondary media until official case/source is fetched","B","Type A","source-shortlist","context","medium","Do not treat DUG bankruptcy as proof plant-based dairy alternatives cannot work.","2026-06-24"
"car-se-hooked-foods-ab","Hooked Foods AB","Hooked","","SE","","","https://hookedfoods.com","company","konkurs/failure case","processing","R2","plant-based seafood and protein products; closure/bankruptcy after retail-product push","plant-based seafood/proteins","bankrupt","","","","","research/evidence-pack/sirkular-konkurser/hooked-foods/media-vegconomist.md; research/evidence-pack/sirkular-konkurser/hooked-foods/konkurs-bolagsverket.md","Bankruptcy/closure detail remains B because local legal capture is generic; founder detail was not imported because source basis was secondary","B","Type A","source-shortlist","context","medium","Do not turn Hooked into a general verdict on plant-based seafood or use founder claims without primary source.","2026-06-24"
"car-se-stockeld-dreamery-ab","Stockeld Dreamery AB","Stockeld","","SE","","","","company","konkurs/failure case","processing","R2","plant-based cultured cheese company winding down and seeking a home for IP","plant-based cheese/cream cheese/slices","dormant","","","","","research/evidence-pack/sirkular-konkurser/stockeld-dreamery/media-vegconomist.md","Secondary wind-down source only; no legal status or completed IP sale source captured","B","Type B","source-shortlist","candidate","medium","Do not call Stockeld bankrupt from this source; classify as wind-down/dormant until legal status is confirmed.","2026-06-24"
