"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-hoff-sa","HOFF SA","Hoff Norske Potetindustrier","940379016","NO","Innlandet","Gjovik","https://www.hoff.no/baerekraft_/sirkulaerokonomi/","cooperative","sidestrøm/upcycling","processing","R2","whole-potato use and rest-resource handling through potato flour protein spirits feed and fertilizer loops","potatoes/peelings/cuttings/rest resources","active","1982","","","","https://www.hoff.no/baerekraft_/sirkulaerokonomi/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=HOFF%20SA&size=8","HOFF reports average annual handling of 40 000 tonnes potatoes/rest resources but product-by-product food/feed split needs source follow-up","A","Type A","PCQ","ready_for_verified_import","high","Do not treat all rest resources as human food. Do not use the 40 000 tonne figure without preserving HOFF's own scope wording.","2026-06-24"
"car-no-biomega-group-as","BIOMEGA GROUP AS","biomega; Biomega Norway AS","982219787","NO","Vestland","Bergen","https://biomegagroup.com/","company","sidestrøm/upcycling","processing","R2","accelerated biorefining of salmon rest streams into food pet and aquaculture ingredients","salmon rest streams/oil/peptides/protein","active","2000","","","","https://biomegagroup.com/; https://biomegagroup.com/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Biomega&size=8","Group and production-entity rows should be deduped before verified export; realized input/output volumes need source follow-up","A","Type A","PCQ","ready_for_verified_import","high","Do not double-count Biomega Group AS and Biomega Norway AS as separate actor capacity without entity split.","2026-06-24"
"car-no-biomega-norway-as","BIOMEGA NORWAY AS","Biomega production entity","982951879","NO","Vestland","Oygarden","https://biomegagroup.com/","company","sidestrøm/upcycling","processing","R2","Norwegian production entity for Biomega salmon-based ingredients","salmon rest streams","active","2001","","","","https://data.brreg.no/enhetsregisteret/api/enheter?navn=Biomega&size=8; https://biomegagroup.com/about-us/","Needs legal/operating relationship mapping to Biomega Group before main registry import","A/B","Type A","source-shortlist","dedupe_with_group","medium","Do not count as additional actor unless registry export intentionally separates group and production site.","2026-06-24"
"car-no-hofseth-biocare-asa","HOFSETH BIOCARE ASA","HBC; Hofseth BioCare","994464663","NO","More og Romsdal","Alesund","https://hofsethbiocare.com/","company","sidestrøm/upcycling","processing","R2","enzymatic hydrolysis of fresh Norwegian salmon off-cuts into bioactive marine ingredients","salmon off-cuts/oil/peptides/calcium-collagen","active","2009","","","","https://hofsethbiocare.com/; https://www.hofsethbiocare.com/company/about-us; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Hofseth%20BioCare&size=8","Health-effect claims and clinical outcomes require separate evidence review; this row only verifies actor/mechanism identity","A","Type A","PCQ","ready_for_verified_import","high","Do not import clinical benefit claims into CAR without study-level review. Do not use investor-presentation capacity as realized output unless source-specific.","2026-06-24"
"car-no-pelagia-as","PELAGIA AS","Pelagia","989094823","NO","Vestland","Bergen","https://www.pelagia.com/about","company","sidestrøm/upcycling","processing","R2","100 percent fish utilization and processing of trimmings/non-human-consumption fish into marine ingredients health products feed biofuel and soil products","fish trimmings/marine proteins/fish oil/feed ingredients","active","2005","","","","https://www.pelagia.com/about; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Pelagia&size=8","Pelagia is a large multi-segment processor; CAR should split human food health feed and soil/biofuel claims if used analytically","A","Type A","PCQ","ready_for_verified_import","high","Do not equate 100 percent fish utilization with high-value human-food utilization. Do not mix self-dead farmed fish with food-grade streams.","2026-06-24"
"car-no-alginor-asa","ALGINOR ASA","Alginor","913422082","NO","Rogaland","Karmoy","https://alginor.no/about-us/","company","tang/tare","processing","R2","integrated kelp biorefinery and total-utilisation strategy for kelp-based ingredients","Laminaria hyperborea/kelp ingredients","active","2014","","","","https://alginor.no/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Alginor&size=8","This is primarily kelp biorefinery rather than food-industry side-stream upcycling; PROTEUS supports side-stream/total-utilisation context","A","Type A","source-shortlist","candidate_enrichment","high","Do not classify as food-side-stream actor unless referring to PROTEUS/kelp side-stream valorisation. Do not infer production scale from funding or project goals.","2026-06-24"
"car-no-proteus-kelp-project","PROTEUS kelp side-stream valorisation","PROTEUS; Alginor PROTEUS","","NO","Rogaland","Karmoy","https://norsus.no/en/prosjekt/proteus-kelp-side-stream-valorisation-to-develop-new-biobased-value-chains/","project","sidestrøm/upcycling","research","R2","kelp side-stream valorisation toward industrial-scale brown-seaweed biorefinery and food feed personal-care and industrial ingredients","kelp side streams/bio-based ingredients","active","","","","","https://norsus.no/en/prosjekt/proteus-kelp-side-stream-valorisation-to-develop-new-biobased-value-chains/","Project row, not company capacity. Needs consortium and production-start checks before any impact claim.","A","Type A","source-shortlist","context","high","Do not treat project ambition or 100 percent utilisation target as realized commercial output.","2026-06-24"
"car-no-gruten-as","Gruten AS","Gruten","","NO","Oslo","Oslo","https://www.gruten.no/om-gruten","company","konkurs/failure case","processing","R2","coffee-waste reuse through products courses and former oyster-mushroom production on coffee grounds","kaffegrut/oyster mushrooms/grow kits/soap/scrub","dormant","2014","","","","https://www.gruten.no/om-gruten; https://www.gruten.no/produkt/%C3%B8sterssopp-1","Brreg clean org-number match not found in this pass. Actor page says mushroom farm closed in 2023 and AS winding down in summer 2025.","A/B","Type A","source-shortlist","context_failure_case","medium","Do not list Gruten as active food producer. Do not treat historic coffee-ground mushroom production as current production.","2026-06-24"
"car-no-arctic-natural-nutrition-as","ARCTIC NATURAL NUTRITION AS","Arctic Natural Nutrition","928103668","NO","Nordland","Bodo","","company","sidestrøm/upcycling","processing","R2","possible nutrition-product producer seed; side-stream mechanism not primary-confirmed","nutrition products","active","2021","","","","https://data.brreg.no/enhetsregisteret/api/enheter?navn=Arctic%20Natural%20Nutrition&size=8","Only registry identity found. No primary source confirming circular side-stream mechanism in this pass.","A registry only","Type B","actor-gate","parked","low","Do not include as circular actor until product/source evidence confirms side-stream use.","2026-06-24"
"car-dk-kaffe-bueno","Kaffe Bueno","Kaffe Bueno ApS","","DK","","Copenhagen","https://www.kaffebueno.com/","company","sidestrøm/upcycling","processing","R2","spent coffee grounds biorefinery for ingredients across personal care food beverage nutraceuticals animal nutrition and crop applications","spent coffee grounds/coffee oil/fibre/flour","active","2016","","","","https://www.kaffebueno.com/","Nordic context only for CAR v1; not Norwegian registry coverage","A","Type A","source-shortlist","context","high","Do not count Danish coffee-ground biorefinery as Norway coverage. Do not present human-nutrition availability as current without product-line source.","2026-06-24"
