"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-holdbart-as","HOLDBART AS","Holdbart","815664582","NO","Akershus","Vestby","https://holdbart.no","company","matsvinn/prevention","retail","R1","surplus and near-expiry food resale","overskuddsmat og varer nær utløp","active","2015","Trond J. Laeng and Thor Johansen founders; Trond Johannesen Laeng daglig leder [Brreg]; Summa Equity investor/acquirer 2021 [Summa source]","364","","research/norge/circular-actors/brreg-validated.md; https://data.brreg.no/enhetsregisteret/api/enheter/815664582/roller; https://summaequity.com/summa-equity-acquires-holdbart-norways-leading-surplus-food-retailer/","People/ownership source is for governance context; do not import exact Summa ownership percentage without primary source","A","Type A","PCQ","people_enrichment","high","Do not treat resale model as measured food-waste reduction without KPI source","2026-06-24"
"car-no-too-good-to-go-norge-as","TOO GOOD TO GO NORGE AS","Too Good To Go Norge","917203261","NO","Oslo","Oslo","https://www.toogoodtogo.com","platform","matsvinn/prevention","consumption","R1","surplus food marketplace","overskuddsmat","active","2016","Ken Vanhoegaerden daglig leder; Mette Lykke Ravn styrets leder [Brreg]; Mette Lykke global investor/CEO role in Too Good To Go history [company primary]","18","","research/norge/circular-actors/brreg-validated.md; https://data.brreg.no/enhetsregisteret/api/enheter/917203261/roller; https://www.toogoodtogo.com/en-us/about-us/our-history","Do not import secondary/global founder lists into the Norway legal row","A","Type A","PCQ","people_enrichment","high","Do not use app impact or saved-meal numbers without primary KPI source","2026-06-24"
"car-no-matvett-as","MATVETT AS","Matvett","997898397","NO","Oslo","Oslo","https://www.matvett.no","company","FoU/nettverk","support","multi","food-waste agreement coordination","matsvinnstatistikk og bransjeavtale","active","2012","Anne-Grete Furst Haugen daglig leder; Anne Marie Schroder kommunikasjonssjef; owned by NHO Mat og Drikke, DLF, Dagligvarehandelens miljoforum, NHO Reiseliv and Virke [Matvett primary]","","","research/norge/circular-actors/brreg-validated.md; https://www.matvett.no/kontakt; https://www.matvett.no/om-matvett; https://data.brreg.no/enhetsregisteret/api/enheter/997898397/roller","Ownership is sector-governance context, not operational throughput","A","Type A","PCQ","people_enrichment","high","Do not make Matvett a producer or direct waste-handler","2026-06-24"
"car-no-pronofa-asa","PRONOFA ASA","Pronofa","926501836","NO","Ostfold","Fredrikstad","https://pronofa.no/en/","company","alternativt protein","processing","R2","low-trophic tunicate ingredient for food and sustainable raw materials","Ciona/Purply","active","2021","Hans Petter Olsen CEO; Bjorge Gretland chair; owners above 75 percent include Denofa AS, Godthab Holding AS, Convexa Asymmetric AS, Reitan Kapital AS and Silvercoin Industries [Pronofa primary]","","","https://pronofa.no/en/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Pronofa&size=5; https://pronofa.no/en/about/; https://data.brreg.no/enhetsregisteret/api/enheter/926501836/roller","People/ownership should not revive older insect framing; current primary source foregrounds Ciona/Purply","A","Type A","PCQ","people_enrichment","high","Do not call insect production active under Pronofa without current primary source. Do not use climate footprint as registry claim without product-specific source handling.","2026-06-24"
"car-no-norinsect-as","Norinsect AS","","","NO","","","https://norinsect.no","company","insekter","processing","R2","mealworm larvae for feed and food","insektprotein","active","","Peder Vikenes founder; Harald Espeland co-founder and CEO/daglig leder [NorInsect primary + Brreg]","","","research/intake/perplexity-2026-04-20/new-actors.json; https://norinsect.no/about-us/this-is-norisect/%26lang%3D2; https://data.brreg.no/enhetsregisteret/api/enheter/916325010/roller","Founder story does not prove national market share or output volume","B","Type A","source-shortlist","people_enrichment","medium","Do not infer current output volume","2026-06-24"
"car-no-invertapro-as","INVERTAPRO AS","Invertapro","917809755","NO","Vestland","Voss","https://www.invertapro.com/en","company","insekter","processing","R2","food waste and organic side-streams converted to larvae feed/food products and frass fertilizer","insect larvae/frass/Blome","active","2016","Alexander Solstad Ringheim CEO/daglig leder; Jakob Irgens Blakstad CSO; Kristin Roen Fauske CCO; Jon Gjerde co-founder [Invertapro primary + Brreg]","","","https://www.invertapro.com/en; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Invertapro&size=5; https://www.invertapro.com/en/om-oss; https://data.brreg.no/enhetsregisteret/api/enheter/917809755/roller","Do not import secondary investor/founder claims beyond official team/co-founder basis","A","Type A","PCQ","people_enrichment","high","Do not treat LCA percentages as independently verified registry KPI without reading the underlying LCA.","2026-06-24"
"car-no-seaweed-solutions-as","SEAWEED SOLUTIONS AS","Seaweed Solutions","993491780","NO","Trøndelag","Trondheim","https://seaweedsolutions.com","company","tang/tare","primary","R2","macroalgae cultivation and biomass use","tang og tare","active","2009","Pal Bakken founder; Jon Funderud CEO; Maren Saether Business Development and Innovation Manager; Hallvard Muri chair [Seaweed Solutions primary + Brreg]","9","","research/norge/circular-actors/brreg-validated.md; https://seaweedsolutions.com/our-story; https://seaweedsolutions.com/meet-the-team; https://data.brreg.no/enhetsregisteret/api/enheter/993491780/roller","People data does not prove food/feed volume from seaweed activity","A","Type A","PCQ","people_enrichment","high","Do not call capacity or cultivation license realized food/feed volume","2026-06-24"
"car-no-arctic-seaweed-as","ARCTIC SEAWEED AS","","917378819","NO","Agder","Flekkefjord","","company","tang/tare","primary","R2","seaweed production","tang og tare","active","","Kim Kristensen CEO / Founder / Board; Borre Halvorsen chair; board includes Aleksander Overby, Matthias Boing, Kristoffer Nilsen, Kristian Flyvholm and Libbe Skovgaard-Petersen [Arctic Seaweed primary + Brreg]","","","research/norge/circular-actors/brreg-validated.md; https://aseaweed.com/portfolio/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter/917378819/roller","Do not classify as food producer from people or technology-source basis alone","A","Type B","actor-gate","people_enrichment","medium","Do not infer active scaled production from registry note","2026-06-24"
"car-no-hoff-sa","HOFF SA","","","NO","","","","cooperative","sidestrøm/upcycling","processing","R2","potato processing side-stream potential","potet sidestrømmer","active","","Ken Are Bod Ostlid daglig leder; Hanne Refsholt chair; cooperative ownership: 544 Norwegian owners and about 200 potato producers [HOFF primary + Brreg]","","","research/intake/perplexity-2026-04-20/new-actors.json; https://www.hoff.no/om-oss/; https://data.brreg.no/enhetsregisteret/api/enheter/940379016/roller","Ownership/member information does not make all potato rest resources human-food upcycling","B","Type A","source-shortlist","people_enrichment","medium","Do not call all potato processing circular","2026-06-24"
"car-no-biomega-group-as","BIOMEGA GROUP AS","biomega; Biomega Norway AS","982219787","NO","Vestland","Bergen","https://biomegagroup.com/","company","sidestrøm/upcycling","processing","R2","accelerated biorefining of salmon rest streams into food pet and aquaculture ingredients","salmon rest streams/oil/peptides/protein","active","2000","Anders Quamme Fosse daglig leder; Espen Aanderud chair; GC Rieber AS announced agreement to acquire 100 percent of Biomega Group including Biomega Norway and Biomega Denmark [Brreg + company/GC Rieber primary]","","","https://biomegagroup.com/; https://biomegagroup.com/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Biomega&size=8; https://data.brreg.no/enhetsregisteret/api/enheter/982219787/roller; https://biomegagroup.com/gc-rieber-kjoper-biomega/; https://www.gcrieber.no/as/gc-rieber-as-kjoper-biomega-group-as/","Do not call acquisition completed unless completion or ownership-register source is added","A","Type A","PCQ","people_enrichment","high","Do not double-count Biomega Group AS and Biomega Norway AS as separate actor capacity without entity split.","2026-06-24"
