"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-lindum-as","LINDUM AS","Lindum","979618840","NO","Buskerud","Drammen","https://lindum.no","company","biogass/digestat","waste","multi","organic waste treatment with biogas biofertilizer compost and soil-product routes","matavfall; avlopsslam; biogjodsel; kompost; jordprodukter","active","2001","","","","https://lindum.no/produkter; https://lindum.no/tjenester/matavfall-avloopsslam-og-biologiske-ressurser; https://data.brreg.no/enhetsregisteret/api/enheter?navn=LINDUM%20AS&size=3","Broad resource-recovery actor; split facility, product and KPI claims before analytical use","A","Type A","PCQ","ready_for_verified_import","high","Do not treat all Lindum waste handling as food-system nutrient return or measured circular impact.","2026-06-24"
"car-no-greve-biogass-as","GREVE BIOGASS AS","Greve Biogass","912716635","NO","Vestfold","Tonsberg","https://www.grevebiogass.no","company","biogass/digestat","waste","R8","biogas and biofertilizer production linked to Den Magiske Fabrikken","matavfall; husdyrgjodsel; biogass; biogjodsel","active","2013","","","","https://www.grevebiogass.no/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=GREVE%20BIOGASS%20AS&size=3","Must keep Greve Lindum and Den Magiske Fabrikken as separate legal/facility rows","A","Type A","PCQ","ready_for_verified_import","high","Do not use facility capacity or ownership share as realized annual circular impact.","2026-06-24"
"car-no-den-magiske-fabrikken-as","DEN MAGISKE FABRIKKEN AS","Den Magiske Fabrikken; The Magic Factory","926389998","NO","Vestfold","Tonsberg","https://dmfas.no","company","biogass/digestat","waste","R8","anaerobic digestion of food waste and manure to biogas biofertilizer and green CO2","matavfall; husdyrgjodsel; biogass; biogjodsel; gronn CO2","active","2020","","","","https://dmfas.no/aktuelt/den_magiske_fabrikken_vant_stor_kontrakt; https://www.grevebiogass.no/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=DEN%20MAGISKE%20FABRIKKEN%20AS&size=3","Facility/source wording is strong but ownership and operator roles must stay separated from Greve and Lindum","A","Type A","PCQ","ready_for_verified_import","high","Do not import the old combined Greve Biogass / Lindum seed row as a verified actor.","2026-06-24"
"car-no-cambi-asa","CAMBI ASA","Cambi","976929284","NO","Akershus","Asker","https://www.cambi.com","company","biogass/digestat","support","R8","thermal hydrolysis technology enabling anaerobic digestion of sludge and organic waste","sewage sludge; biomass; food waste; wet organic waste","active","1996","","","","https://www.cambi.com/; https://www.cambi.com/process; https://data.brreg.no/enhetsregisteret/api/enheter?navn=CAMBI%20ASA&size=3","Technology provider, not a Norwegian food-waste processor by itself","A","Type A","PCQ","ready_for_verified_import","medium","Do not count Cambi customer capacity as Cambi-operated Norwegian food-system recycling.","2026-06-24"
"car-no-romerike-biogassanlegg","ROMERIKE BIOGASSANLEGG AS","Romerike biogassanlegg; RBA","936106978","NO","Akershus","Nes","https://www.oslo.kommune.no/avfall-og-gjenvinning/behandlingsanlegg-for-avfall/romerike-biogassanlegg/","company","biogass/digestat","waste","R8","food waste treatment to biogas and biofertilizer","Oslos matavfall; biogass; biogjodsel; biorest","active","2025","","","","https://www.oslo.kommune.no/avfall-og-gjenvinning/behandlingsanlegg-for-avfall/romerike-biogassanlegg/; https://aktuelt.oslo.kommune.no/byradet-anbefaler-salg-av-romerike-biogassanlegg; https://data.brreg.no/enhetsregisteret/api/enheter?navn=ROMERIKE%20BIOGASSANLEGG&size=3","2026 ownership/sale transition needs final entity confirmation before verified import","A","Type A","actor-gate","candidate","medium","Do not state current owner/operator without a final transfer source after the Oslo sale process.","2026-06-24"
"car-no-romerike-avfallsforedling-iks","ROMERIKE AVFALLSFOREDLING IKS","ROAF","965075364","NO","Akershus","Lillestrom","https://roaf.no","municipal","biogass/digestat","waste","R8","municipal food-waste collection routed to biogas production","matavfall","active","1991","","","","https://roaf.no/kildesortering/avfallstyper/matavfall/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=ROMERIKE%20AVFALLSFOREDLING%20IKS&size=5","ROAF source verifies collection/route, not direct plant ownership in this pass","A","Type A","source-shortlist","candidate","medium","Do not count ROAF as a biogas plant operator or digestate producer without separate facility evidence.","2026-06-24"
"car-no-ivar-iks","IVAR IKS","IVAR; IVAR Grodaland","871035032","NO","Rogaland","Stavanger","https://www.ivar.no","public","biogass/digestat","waste","R8","co-digestion of food waste sludge and other organic waste at Grodaland","matavfall; avlopsslam; septikslam; organisk industriavfall; biogass; biogjodsel","active","1999","","","","https://www.ivar.no/grodaland/; https://www.ivar.no/biogass/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=IVAR%20IKS&size=3","Facility-specific claims should be tied to Grodaland source pages, not the whole IVAR group","A","Type A","PCQ","ready_for_verified_import","high","Do not infer fish-sludge or manure input as current routine feedstock unless the source names it for the facility/use case.","2026-06-24"
"car-no-ecopro-as","ECOPRO AS","Ecopro","984853998","NO","Trondelag","Verdal","https://ecopro.no","company","biogass/digestat","waste","R8","organic waste and sludge processing to biogas and organic fertilizer","matavfall; slam; organisk avfall; biogass; biogjodsel","active","2002","","","","https://ecopro.no/; https://ecopro.no/2024/04/nye-konkurranser-pa-transport-av-matavfall/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=ECOPRO%20AS&size=3","Use official current source for actual stream mix; expansion permits are not realized throughput","A","Type A","PCQ","ready_for_verified_import","high","Do not treat planned/permit capacity as actual processed volume.","2026-06-24"
"car-no-mjosanlegget-as","MJOSANLEGGET AS","Mjosanlegget Biogass AS; Mjosanlegget","987916346","NO","Innlandet","Lillehammer","https://www.mjosanlegget.no","company","kompost/jord","waste","multi","food waste to biogas wet fertilizer compost and soil products","matavfall; vatgjodsel; kompost; jordprodukter; biogass","active","2005","","","","https://www.mjosanlegget.no/hjem/; https://www.mjosanlegget.no/om-oss/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=MJ%C3%98SANLEGGET%20AS&size=3","Company/facility branding uses Mjosanlegget Biogass; keep legal name and alias clean","A","Type A","PCQ","ready_for_verified_import","high","Do not infer annual output or regional coverage beyond the named source claims.","2026-06-24"
"car-no-bir-bioressurs-as","BIR BIORESSURS AS","BIR biogassanlegget pa Voss","927802546","NO","Vestland","Voss","https://bir.no/om-bir/vaare-anlegg/biogassanlegget/","company","biogass/digestat","waste","R8","food waste and manure to biogas and biofertilizer at Voss","matavfall; husdyrmokk; biogass; biogjodsel","active","2021","","","","https://bir.no/om-bir/vaare-anlegg/biogassanlegget/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=BIR%20BIORESSURS%20AS&size=5","Opened late 2025; actual annual volumes need later operating evidence","A","Type A","PCQ","ready_for_verified_import","high","Do not treat design capacity or opening claims as realized annual production.","2026-06-24"
