fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
;11653;35365;225996558.2;0.0;2026-08-04;Stortare (74 883 597 kg) | Norsk vårgytende sild (38 098 560 kg) | Kolmule (21 888 663 kg)
1958004699;30;321;35431.9;0.0;2026-04-27;Sei (20 438 kg) | Lange (5 734 kg) | Nordøstarktisk torsk (2 999 kg)
1959006996;30;364;43786.5;0.0;2026-04-15;Nordøstarktisk torsk (41 628 kg) | Nordøstarktisk hyse (904 kg) | Sei (475 kg)
1960011101;44;44;7417.0;0.0;2026-06-16;Dypvannsreke (7 417 kg)
1962005168;9;59;33852.8;0.0;2026-02-12;Nordøstarktisk torsk (33 730 kg) | Sei (101 kg) | Nordøstarktisk hyse (21 kg)
1963006333;4;36;34134.0;0.0;2026-07-04;Nordøstarktisk hyse (13 885 kg) | Nordøstarktisk torsk (12 385 kg) | Blåkveite (7 231 kg)
1963007145;3;28;10359.7;0.0;2026-03-28;Nordøstarktisk torsk (10 222 kg) | Kveite (103 kg) | Sei (22 kg)
1967002831;3;11;1593.0;0.0;2026-04-12;Nordøstarktisk torsk (1 593 kg)
1967005695;12;79;66243.4;0.0;2026-06-04;Nordøstarktisk torsk (55 698 kg) | Blåkveite (8 658 kg) | Lange (1 687 kg)
1967006076;7;24;827.6;0.0;2026-04-07;Nordøstarktisk torsk (748 kg) | Lyr (27 kg) | Kveite (24 kg)
1967011839;28;259;56920.0;0.0;2026-06-02;Nordøstarktisk torsk (40 018 kg) | Blåkveite (13 323 kg) | Sei (1 209 kg)
1968004440;5;5;60.0;0.0;2026-05-22;Dypvannsreke (60 kg)
1969000787;103;293;2903885.3;0.0;2026-07-01;Snabeluer (1 221 453 kg) | Sei (1 159 665 kg) | Hyse (156 926 kg)
1969006502;32;180;8693.7;0.0;2026-08-03;Nordøstarktisk torsk (6 504 kg) | Kongekrabbe  hann- (823 kg) | Nordøstarktisk hyse (526 kg)
1970005573;13;107;6139.3;0.0;2026-08-03;Sei (1 401 kg) | Nordøstarktisk hyse (1 359 kg) | Nordøstarktisk torsk (1 162 kg)
1970007571;41;309;125578.6;0.0;2026-06-17;Nordøstarktisk torsk (71 042 kg) | Sei (29 435 kg) | Blåkveite (18 999 kg)
1970010202;5;27;5299.6;0.0;2026-07-01;Sei (3 668 kg) | Nordøstarktisk torsk (862 kg) | Brosme (359 kg)
1971003988;17;123;5126.8;0.0;2026-07-31;Sei (1 673 kg) | Hyse (1 402 kg) | Lysing (694 kg)
1971010038;34;34;9376.0;0.0;2026-08-04;Sjøkreps (9 376 kg)
1971010753;5;8;6413.0;0.0;2026-04-14;Nordøstarktisk torsk (6 397 kg) | Sei (13 kg) | Nordøstarktisk hyse (3 kg)
1971010932;9;45;6385.8;0.0;2026-06-29;Nordøstarktisk torsk (5 507 kg) | Rødspette (398 kg) | Nordøstarktisk hyse (340 kg)
1972001998;17;82;42609.0;0.0;2026-07-10;Nordøstarktisk torsk (41 326 kg) | Sei (1 283 kg)
1972002500;24;175;12586.9;0.0;2026-08-03;Nordøstarktisk torsk (8 905 kg) | Kveite (1 056 kg) | Brosme (983 kg)
