priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P0,downloaded,NO,research-round,analysis,Food Research Process,Evidensnotat for Food Systems 2026,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/evidensnotat-2026-04-20.md,register_as_source_doc_src-127,src/lib/data/sources.ts
P0,downloaded,NO,research-round,analysis,Food Research Process,Eiendomsmakt i dagligvaremarkedet i Norge og Norden,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md,register_as_source_doc_src-128,src/lib/data/sources.ts
P0,downloaded,NO,research-round,analysis,Food Research Process,"Makt, fryktkultur og svak enforcement",2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/makt-fryktkultur-enforcement-2026-04-20.md,register_as_source_doc_src-129,src/lib/data/sources.ts
P0,downloaded,NO,research-round,analysis,Food Research Process,"Framstillinger av mat, makt og beredskap",2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/framstillinger-mat-makt-beredskap-2026-04-20.md,register_as_source_doc_src-130,src/lib/data/sources.ts
P0,downloaded,NORDIC,research-round,analysis,Food Research Process,Alternative distribusjonskanaler Norden,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/alternative-distribusjonskanaler-norden-2026-04-20.md,register_as_source_doc_src-131,src/lib/data/sources.ts
P0,downloaded,NORDIC,research-round,analysis,Food Research Process,HORECA og offentlige maaltider Norden,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/nordisk-horeca-offentlige-maaltider-2026-04-20.md,register_as_source_doc_src-132,src/lib/data/sources.ts
P0,downloaded,NORDIC,research-round,analysis,Food Research Process,Nordiske dagligvarecase som mislyktes,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/nordiske-dagligvarecase-mislyktes-2026-04-20.md,register_as_source_doc_src-133,src/lib/data/sources.ts
P0,downloaded,GLOBAL,research-round,analysis,Food Research Process,Nordiske og internasjonale benchmark-case,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/nordiske-internasjonale-benchmarkcase-2026-04-20.md,register_as_source_doc_src-134,src/lib/data/sources.ts
P0,downloaded,NO,research-round,analysis,Food Research Process,Norges matrevolusjon - sirkulaer innovasjon,2026,,,local_md_available,research/bibliotek/forskningsrunde-2026-04-20/norges-matrevolusjon-sirkular-innovasjon-2026-04-20.md,register_as_source_doc_src-135,src/lib/data/sources.ts
P0,downloaded,NORDIC,research-round,report,Food Research Process,Research Report (samlet PDF),2026,,,local_pdf_downloaded,research/evidence-pack/forskningsrunde-2026-04-20/research-report-2026-04-20.pdf,register_as_source_doc_src-136,src/lib/data/sources.ts
# === EIENDOMSMAKT — underliggende kilder ===,,,,,,,,,,,,,
