id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G6-NO-001,G6,K1,NO,foredling,"Beredskapslagring av matkorn i Norge skal være korn (mathvete), ikke mel eller annen bearbeidet vare – dermed kreves foredlingskompetanse for at reserve skal bli mat.",policy_mål,,,2023,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf/_/attachment/inline/c490a06e-4588-4e41-8a15-95ef45cfda60:33698f26c6deee389e3702247a211c7411fb0dad/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf,Landbruksdirektoratet,2023-02-20,§1.2 Avgrensinger,"Kun korn, og bare mathvete, skal inngå i lagringen, ikke mel eller andre bearbeidete varer",primær,lest_i_kilde,hvitbok_kap7,Kort 1 kompetansebehov
G6-NO-002,G6,K2,NO,foredling,"Landbruksdirektoratet anbefaler at forvaltningskompetanse for kornberedskap ligger hos flere ansatte for å sikre gjennomføring ved uttak.",vurdering,,,2023,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf/_/attachment/inline/c490a06e-4588-4e41-8a15-95ef45cfda60:33698f26c6deee389e3702247a211c7411fb0dad/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf,Landbruksdirektoratet,2023-02-20,§2.5 Forvaltningskostnader,"Det er viktig at kompetansen knyttet til forvaltningen ligger hos flere ansatte",primær,lest_i_kilde,hvitbok_kap7,Kort 1
G6-NO-003,G6,K1,NO,foredling,"Norsk modell for matkornberedskap bygger på integrert lagring hos private driftsoperatører (kornhandlere/matmelmøller).",vedtak,,,2023,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf/_/attachment/inline/c490a06e-4588-4e41-8a15-95ef45cfda60:33698f26c6deee389e3702247a211c7411fb0dad/Rapport%202023%2017%20Beredskapslagring%20av%20matkorn.pdf,Landbruksdirektoratet,2023-02-20,§1.4 Definisjoner,"Integrert lagring: Beredskapslagret korn eid av staten inngår som en del av den ordinære varebeholdningen hos driftsoperatør",primær,lest_i_kilde,hvitbok_kap7,Krever operatørkompetanse
G6-NO-004,G6,K1,NO,avfall og sidestrømmer,"Fra et materiale er bestemt til bruk som fôr, gjelder fôrregelverkets krav (trygghet, merking, egnethet).",fakta,,,2026,https://www.mattilsynet.no/for/krav-til-for,Mattilsynet,ukjent (aksessert 2026-09-14),Overordnede krav,"Fra det er bestemt at materialet skal benyttes som fôr, vil bestemmelsene i fôrregelverket gjelde",primær,lest_i_kilde,hvitbok_kap7,Kort 2 regelverkskompetanse
G6-NO-005,G6,K1,NO,avfall og sidestrømmer,"Animalsk materiale til fôring av matproduserende dyr må være kategori 3 og behandlet etter biproduktregelverket – krever spesialisert regelverkskompetanse.",fakta,,,2026,https://www.mattilsynet.no/for/krav-til-for,Mattilsynet,ukjent (aksessert 2026-09-14),Skal hindre smitte,"Alt animalsk materiale som skal benyttes til fôring av matproduserende dyr må være av kategori 3",primær,lest_i_kilde,hvitbok_kap7,Kort 2
G6-NO-006,G6,K1,NO,avfall og sidestrømmer,"Biogasskurs tilbys som oppfyllelse av DSB-kompetansekrav etter forskrift om håndtering av farlig stoff §7 for driftsoperatører.",implementert,,,2024,https://sirknorge.no/kurs-og-arrangementer/kurs-om-drift-av-biogassanlegg,Sirk Norge (Avfall Norge),2024-04-09,Kursbeskrivelse,"Kurset tilfredsstiller … DSBs krav til kompetanse iht. forskrift om håndtering av farlig stoff",primær,lest_i_kilde,hvitbok_kap7,Kort 3; bransjekurs ikke lovsertifikat alene
G6-SE-001,G6,K1,SE,forbruk storhusholdning og kjøkken,"Livsmedelsverkets beredskapshandbok for offentlige måltider (2022) er myndighetsveiledning for kontinuitet, krisretter, lager og øvelser i kommunale/regionale kjøkken.",policy_mål,,,2022,https://www.livsmedelsverket.se/globalassets/publikationsdatabas/handbocker-verktyg/beredskapshandbok-for-offentliga-maltider-2022/beredskapshandbok_for_offentliga_maltider_2022_webb.pdf,Livsmedelsverket,2022,Förord/Syfte,"För att stödja beredskapsarbetet inom måltidsverksamheter i Sverige har Livsmedelsverket tagit fram denna handbok",primær,lest_i_kilde,hvitbok_kap7,Kort 4
G6-SE-002,G6,K1,SE,forbruk storhusholdning og kjøkken,"Handboken identifiserer personal/kompetanse som kritisk ressurs og spør eksplisitt om beredskap for nøkkelpersoners fravær og mulighet til å utdanne flere.",fakta,,,2022,https://www.livsmedelsverket.se/globalassets/publikationsdatabas/handbocker-verktyg/beredskapshandbok-for-offentliga-maltider-2022/beredskapshandbok_for_offentliga_maltider_2022_webb.pdf,Livsmedelsverket,2022,Del B ressursen personal,"Finns någon beredskap för att täcka upp för nyckelpersoners eller specialisters frånvaro? Finns möjlighet att utbilda fler?",primær,lest_i_kilde,hvitbok_kap7,Kort 4 kompetanse
G6-SE-003,G6,K1,SE,forbruk storhusholdning og kjøkken,"Söderköpings kostenhet har øvd beredskap kontinuerlig siden 2022 og bygget kompetanse/utstyr for matlaging uten el; lærdommer fra øvelser og reelt strømbrudd.",case,,,2025,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/maltidsbloggen/soderkoping-ovade-sin-beredskap-under-beredskapsveckan/,Livsmedelsverket,2025-10-10,Artikkeltekst,"I Söderköping har Kostenheten arbetat med beredskapsfrågan kontinuerligt sedan 2022",primær,lest_i_kilde,hvitbok_kap7,Kort 4 suksess via kompetanseøving
G6-SE-004,G6,K1,SE,forbruk storhusholdning og kjøkken,"Söderköping: alle tilberedningskjøkken har utstyr for matlaging uten el (muurikka, gass, telt m.m.) og beredskapsryggsekk – operativ kompetanse støttet av materiell.",implementert,,,2025,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/maltidsbloggen/soderkoping-ovade-sin-beredskap-under-beredskapsveckan/,Livsmedelsverket,2025-10-10,Så har Söderköping gjort,"Nu har alla tillagningskök i kommunen utrustning och material för att kunna laga mat utan el",primær,lest_i_kilde,hvitbok_kap7,Kort 4
G6-SE-005,G6,K1,SE,avfall og sidestrømmer,"SPCR 120 krever utdanningsplan og at kvalitetspåvirkende personale har nødvendig opplæring for sertifisert biogjødsel.",vedtak,,,2025,https://www.avfallsverige.se/media/scxa43se/spcr-120-2025-gulmarkerad.pdf,Avfall Sverige / RISE (SPCR 120),2025,§4.5 Utbildning av personal,"Kvalitetspåverkande personal skall ha erforderlig utbildning",primær,lest_i_kilde,hvitbok_kap7,Kort 3
G6-SE-006,G6,K3,SE,avfall og sidestrømmer,"SPCR 120 krever at tilverkarens representant har gjennomført Avfall Sverige-godkjent kurs om sertifiseringsreglene (leverandørvurdering, produktkrav, smittevern, kontroll).",vedtak,,,2025,https://www.avfallsverige.se/media/scxa43se/spcr-120-2025-gulmarkerad.pdf,Avfall Sverige / RISE (SPCR 120),2025,§4.5,"Tillverkarens representant skall ha genomgått en kurs … godkänd av Avfall Sverige",primær,lest_i_kilde,hvitbok_kap7,Kompetanse som kvalitetssperre
