node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
the-qrill-company-as,THE QRILL COMPANY AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver investeringer i og eierskap av fiske- og fangstfartøyer samt,produksjonsutstyr i denne forbindelse, herunder drift av slike,fartøyer og utstyr, samt investeringer i selskaper med tilsvarende,formål. fiske og fangst i sjø.",,2026,988354139,https://data.brreg.no/enhetsregisteret/api/enheter/988354139,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/service/utleie/annen blandet rolle.
gullfesken-as,GULLFESKEN AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske, tjenester innen akvakultur. fiske og fangst i sjø.",,2026,991404074,https://data.brreg.no/enhetsregisteret/api/enheter/991404074,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
oddvar-nes-as,ODDVAR NES AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver eie og drive fiskefartøy, samt delta i,andre selskaper med økonomisk formål. fiske og fangst i sjø.",,2026,912289184,https://data.brreg.no/enhetsregisteret/api/enheter/912289184,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
hovden-senior-as,HOVDEN SENIOR AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske og fangst. fiske og fangst i sjø.,,2026,974536986,https://data.brreg.no/enhetsregisteret/api/enheter/974536986,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
prestfjord-as,PRESTFJORD AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske og fangst, samt utleie av fartøy til slik virksomhet. fiske og fangst i sjø.",,2026,979841345,https://data.brreg.no/enhetsregisteret/api/enheter/979841345,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/service/utleie/annen blandet rolle.
cetus-as,CETUS AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske - industritråling og hva hermed står i forbindelse. fiske og fangst i sjø.,,2026,976117492,https://data.brreg.no/enhetsregisteret/api/enheter/976117492,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
fruholmen-seafood-as,FRUHOLMEN SEAFOOD AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver drive kommersiell fiske og fangst av ulike fiskearter, samt deltakelse,i andre virksomheter innenfor samme bransje. fiske og fangst i sjø.",,2026,994268511,https://data.brreg.no/enhetsregisteret/api/enheter/994268511,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
eskoy-as,ESKØY AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver rederivirksomhet, fiskeri og tilknyttet virksomhet og hva dermed står,i forbindelse som kystfiske og kjøp og salg av fisk. fiske og fangst i sjø.",,2026,992091541,https://data.brreg.no/enhetsregisteret/api/enheter/992091541,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
runafisk-as,RUNAFISK AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske. fiske og fangst i sjø.,,2026,935851440,https://data.brreg.no/enhetsregisteret/api/enheter/935851440,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges for fartoy-/kvote-/driftsreview.
sabas-egning-as,SABAS EGNING AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver lineegning og utleie av linebruk. fiske og fangst i sjø.,,2026,917424411,https://data.brreg.no/enhetsregisteret/api/enheter/917424411,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-6 etter dedupe mot 120 eksisterende villfisk-aktører og alle tidligere villfisk-kandidatfiler. Flagges fordi registertekst også omtaler investering/service/utleie/annen blandet rolle.
