id,theme,priority,question,geo,source_target,expected_output,primary_source_hint,known_caveat,gate,next_artifact,status
R12-VALUE-001,value-chain,P0,"Lag ledd-profil for importleddet i Norge: viktigste mat-/fôr-/innsatsvarestrømmer, sårbarhet og datagap",NO,"official trade/statistics","ledd-profil table with A/B/C evidence","SSB 08801, Landbruksdirektoratet, NIBIO","registrer kilde per celle; ikke bland verdi/volum","PCQ","research/external/r12/","planned"
R12-VALUE-002,value-chain,P1,"Lag ledd-profil for primærproduksjon i Norge med produksjon, selvforsyning, innsatsvarer og sårbarhet",NO,"official agriculture statistics","ledd-profil table","NIBIO, Helsedirektoratet, Landbruksdirektoratet","skille rå selvforsyning og fôrkorrigert metode","PCQ","research/external/r12/","planned"
R12-VALUE-003,value-chain,P1,"Lag ledd-profil for prosessering/foredling: kapasitet, konsentrasjon, importerte råvarer og waste",NO,"industry and official sources","processing profile","Konkurransetilsynet, årsrapporter, Landbruksdirektoratet","konsentrasjon er struktur, ikke intensjon","PCQ","research/external/r12/","planned"
R12-VALUE-004,value-chain,P1,"Lag ledd-profil for distribusjon og grossistledd med aktører, flaskehalser og alternative kanaler",NO,"public procurement and market reports","distribution profile","KT, Doffin, Menon, company annual reports","ASKO/HORECA-andeler må merkes aktørrapportert hvis ikke uavhengig","PCQ","research/external/r12/","planned"
R12-VALUE-005,value-chain,P2,"Lag nordisk sammenligning av ledd-profiler: hvilke land kan lære hva av hverandre",Nordic,"official national statistics","comparative matrix","Nordic statistical agencies","metoder ikke harmonisert; noter hvert avvik","source-shortlist","research/external/r12/","planned"
R12-RES-001,resilience,P0,"Kartlegg fôrkorrigert selvforsyning og metodeforskjeller i Norden",Nordic,"official food security statistics","method comparison table","NIBIO/Helsedirektoratet, Nordic agencies","offisiell fôrkorrigert metode finnes trolig bare NO","PCQ","research/external/r12/","planned"
R12-RES-002,resilience,P0,"Kartlegg beredskapslager for korn, fôr og gjødsel i nordiske land: mål vs realisert",Nordic,"government preparedness docs","stockpile matrix","LMD, Totalberedskapsmeldingen, nordiske beredskapsmyndigheter","klassifisert tonnasje skal stå som C","PCQ","research/external/r12/","planned"
R12-RES-003,resilience,P1,"Kartlegg kritiske importnoder for norsk matsystem: fosfat, fôrprotein, fiskeolje, soya, kaffe og kakao",NO,"trade/statistics","critical import node table","SSB 08801, Comtrade as secondary, EU sources","sekundær speilkilde skal ikke bli primær","PCQ","research/external/r12/","planned"
R12-RES-004,resilience,P1,"Finn hvilke lokale/korte verdikjeder faktisk øker forsyningssikkerhet, ikke bare lokal identitet",NO,"research + case evidence","evidence memo","NIBIO, Ruralis, Økologisk Norge, local food reports","ikke bruk lokal = resilient uten mekanisme","source-shortlist","research/external/r12/","planned"
R12-RES-005,resilience,P2,"Kartlegg transport-, havn-, lager- og kaldkjede-sårbarheter for mat i Norden",Nordic,"infrastructure/beredskap docs","risk inventory","DSB, NFD, nordiske transportmyndigheter","kan bli for bred; noter kun matrelevante noder","source-shortlist","research/external/r12/","planned"
R12-FEED-001,feed-inputs,P0,"Finn primærkilde for norsk fiskeoljeimport fra Mauritania 2020-2025",NO,"SSB 08801/PxWeb","time series with HS codes and caveat","SSB tabell 08801","Senegal/Gambia/sardinella forblir type C hvis ikke primærserie finnes","PCQ","research/external/r12/","planned"
R12-FEED-002,feed-inputs,P0,"Kartlegg norsk fôrimportavhengighet per kjøttslag og akvakultur med metode- og kildeetikett",NO,"official agriculture and aquaculture stats","species/feed dependency table","Animalia, NIBIO, Landbruksdirektoratet, Nofima/FHF","ikke bland kraftfôr, proteinfraksjon og total fôrkurv","PCQ","research/external/r12/","planned"
R12-FEED-003,feed-inputs,P1,"Lag aktørledger for alternative nordiske fôrproteiner: realisert volum, kapasitet, plan og tomme celler",Nordic,"company/project primary docs","actor ledger","company releases, funding databases, public project pages","kapasitet er ikke realisert produksjon","source-shortlist","research/external/r12/","planned"
R12-FEED-004,feed-inputs,P1,"Kartlegg soya/SPC-koder, sluttbruk og åpne type-C-hull for norsk fôr",NO,"customs nomenclature and trade stats","code and gap memo","TARIC, SSB, Landbruksdirektoratet","SPC er ikke HS 2304; sluttbrukssplitt kan være C","PCQ","research/external/r12/","planned"
