country,source_name,source_type,owner,url,local_original_path,local_text_path,format,download_status,extraction_status,analysis_status,quality_flag,notes
NO,Debios statistikk 2024,control_report,Debio,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,downloads/no-debio-statistikk-2024.pdf,text/no-debio-statistikk-2024.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,"Best Norwegian control/certification source for 2024 operators, organic area, conversion area and value-chain certification."
NO,Produksjon av okologiske jordbruksvarer 2025,authority_report,Landbruksdirektoratet,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,"Official 77-page report nr. 4/2026, dated 13.03.2026. Downloaded via short filarkiv URL, which redirects to current attachment hash."
NO,Produksjon og omsetning av okologiske jordbruksvarer 2025 - press page,authority_press_page,Landbruksdirektoratet / NTB kommunikasjon,https://kommunikasjon.ntb.no/pressemelding/18506953/ny-rapport-salget-av-okologisk-mat-oker?publisherId=17847187,downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025-press.html,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025-press.txt,html,downloaded,html_text_ok,supporting_source_superseded_by_pdf,supporting,Press page retained as provenance support; full Landbruksdirektoratet PDF is now downloaded and used for 2025 indicator rows.
DK,Okologisk Landsforening arsrapport 2025,organization_report,Okologisk Landsforening,https://okologi.dk/media/xloglr53/oekologisk-landsforening-aarsrapport-2025.pdf,downloads/dk-okologisk-landsforening-arsrapport-2025.pdf,text/dk-okologisk-landsforening-arsrapport-2025.txt,pdf,downloaded,pdftotext_ok,actor_source_mapped,actor_context,"Useful for actor strategy, projects and organizational priorities; not a primary statistical source."
DK,Organic Market Report 2025,sector_market_report,Organic Denmark,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,downloads/dk-organic-denmark-market-report-2025.pdf,text/dk-organic-denmark-market-report-2025.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,Primary Danish market/retail/foodservice/export source; sector source but data references Statistics Denmark and market datasets.
DK,Statistik over okologiske jordbrugsbedrifter 2024,authority_statistics,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,downloads/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.pdf,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,"Official Danish farm/area statistics. Strongest source for 2024 area, farms and regional/production-type split."
SE,Ekologisk animalieproduktion 2024,authority_statistics,Jordbruksverket,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,downloads/se-jordbruksverket-ekologisk-animalieproduktion-2024.html,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,html,downloaded,html_text_ok,key_indicators_extracted,ok,Official Swedish animal production source; includes method notes and quality limitations for some animal categories.
SE,Ekologisk vaxtodling 2024,authority_statistics,Jordbruksverket,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,downloads/se-jordbruksverket-ekologisk-vaxtodling-2024.html,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,html,downloaded,html_text_ok,key_indicators_extracted,ok,Official Swedish area/crop/farm statistics for 2024.
SE,Ekologiska Arsrapporten 2024,sector_market_report,Organic Sweden / Ekologiska Lantbrukarna / KRAV / Ekomatcentrum,https://www.ekolantbruk.se/rapporter/arsrapport-2024pdf,downloads/se-ekologiska-arsrapporten-2024.pdf,text/se-ekologiska-arsrapporten-2024.txt,pdf,downloaded,pdftotext_ok,market_context_extracted,ok,Best Swedish sector market synthesis for 2024; links market channels with farm-level organic area decline.
SE,Ekologiska marknadsrapporten 2024,public_procurement_market_report,Ekomatcentrum,https://ekomatcentrum.se/wp-content/uploads/2024/04/ekologiska_marknadsrapporten2024.pdf,downloads/se-ekomatcentrum-ekologiska-marknadsrapporten-2024.pdf,text/se-ekomatcentrum-ekologiska-marknadsrapporten-2024.txt,pdf,downloaded,pdftotext_ok,quality_issue_flagged,title_year_mismatch,Downloaded file title/text identifies Ekologiska Arsrapporten 2023 / March 2024. Keep as 2023 market evidence until source title is reconciled.
SE,KRAV rapporter,certification_reports_index,KRAV,https://www.krav.se/om-oss/rapporter/,downloads/se-krav-rapporter.html,text/se-krav-rapporter.txt,html,downloaded,html_text_ok,actor_source_mapped,index_only,Index confirms KRAVs Effektrapport and Ekobarometer report family. Individual reports should be downloaded in next wave.
FI,Luomuvalvonta Suomessa 2024,control_report,Ruokavirasto,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,downloads/fi-ruokavirasto-luomuvalvonta-2024.pdf,text/fi-ruokavirasto-luomuvalvonta-2024.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,Official Finnish control source; HTML landing page also downloaded.
FI,Luomuvalvonta Suomessa 2024 landing page,control_report_landing_page,Ruokavirasto,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,downloads/fi-ruokavirasto-luomuvalvonta-2024.html,text/fi-ruokavirasto-luomuvalvonta-2024-html.txt,html,downloaded,html_text_ok,supporting_source,supporting,Landing page kept as provenance support for PDF.
