source_path,source_top_folder,filename,ext,size_bytes,modified_at,sha256,priority,project_fit,candidate_model,typed_layer_candidate,import_file_path,proposed_title,proposed_year,proposed_country,proposed_theme,proposed_doc_type,review_status,action,final_title,final_year,final_country,final_theme,final_doc_type,final_url,notes
Food Research Process 20.04.26/03_Policy_Governance_And_Market/fréttatilkynning-hagar-4f-2024-25-ensk.pdf,03_Policy_Governance_And_Market,fréttatilkynning-hagar-4f-2024-25-ensk.pdf,.pdf,560450,2026-04-20T11:44:56.505Z,7ff714786c3d353f3c3aee5e3676131562cbe052fa9870d008710bb6dd0c1db1,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7ff714786c-frettatilkynning-hagar-4f-2024-25-ensk.pdf,Microsoft Word - Fréttatilkynning Hagar 4F 2024-25 ENSK,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf,03_Policy_Governance_And_Market,Konkurransetilsynets-Dagligvarerapport-2024-25.pdf,.pdf,2228354,2026-04-20T11:41:38.180Z,f0fab2be696aad6989cd820058987fee2bc7d6bb5a9e82a0993b846e9031296f,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f0fab2be69-konkurransetilsynets-dagligvarerapport-2024-25.pdf,Konkurransetilsynets Dagligvarerapport 2024 25,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/NORDIC_FOOD_MARKETS.pdf,03_Policy_Governance_And_Market,NORDIC_FOOD_MARKETS.pdf,.pdf,1336097,2026-04-20T13:22:06.240Z,c76145bbb97bf64b7350bb7520b54cb3b3630ef8b9e513c99a4263e7350cfa50,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/c76145bbb9-nordic-food-markets.pdf,543348.indd,,nordic,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,03_Policy_Governance_And_Market,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,.pdf,166115,2026-04-20T13:05:06.575Z,5f481fd61eefbd44c5fa7d7d06c432d83b79bade3aab89924c33957e1647f98c,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f481fd61e-ny-rapport-om-krav-til-apenhet-i-dagligvarebransjen-regjeringen-no.pdf,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,03_Policy_Governance_And_Market,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,.pdf,266005,2026-04-20T13:05:00.968Z,cc43df6788d9c047ea3f7afc71223e99e16c4693eafcc32711139adf96732483,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc43df6788-nye-tiltak-for-bedre-konkurranse-i-dagligvarebransjen-regjeringen-no.pdf,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Oslo-Economics-Konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,03_Policy_Governance_And_Market,Oslo-Economics-Konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,.pdf,780076,2026-04-20T13:33:16.545Z,6155c0f06fea09224f3ec235453af91641aa99302493d97faad0f0c772ccc8de,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/6155c0f06f-oslo-economics-konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,Konkurransen i dagligvare-markedet – betydelig bedre enn sitt rykte!,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paivittaistavarakauppa-ry-2024-EN.pdf,03_Policy_Governance_And_Market,Paivittaistavarakauppa-ry-2024-EN.pdf,.pdf,340310,2026-04-20T11:49:58.525Z,aa2340aec7eb3bb0d1ff50542ff79f9591523992034cc260c7eb49b2d2b32575,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/aa2340aec7-paivittaistavarakauppa-ry-2024-en.pdf,Paivittaistavarakauppa ry 2024 EN,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paraplykjedenes-overtakelse-av-distribusjonen-i-dagligvaremarkedet.pdf,03_Policy_Governance_And_Market,Paraplykjedenes-overtakelse-av-distribusjonen-i-dagligvaremarkedet.pdf,.pdf,2177029,2026-04-20T08:19:43.627Z,baf0bda56300bf05c7a6e8fa7d5119fba7663f0dbb16161a8d9384641e56546e,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/baf0bda563-paraplykjedenes-overtakelse-av-distribusjonen-i-dagligvaremarkedet.pdf,Paraplykjedenes overtakelse av distribusjonen i dagligvaremarkedet,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport-marginstudie.pdf,03_Policy_Governance_And_Market,Rapport-marginstudie.pdf,.pdf,2684001,2026-04-20T08:20:53.378Z,02e07da260465f057e06278c6e6048f778c131440749df4d9e8f1cf413512aa9,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/02e07da260-rapport-marginstudie.pdf,Rapport marginstudie,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+Dagligvarebransjen.pdf,03_Policy_Governance_And_Market,Rapport+om+samarbeidsklimaet+i+Dagligvarebransjen.pdf,.pdf,1426362,2026-04-20T11:44:39.601Z,5a1cbe46f9848797df48e227fcfd04e1774ab4f524bb0064c702dc4bb45531c8,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5a1cbe46f9-rapport-om-samarbeidsklimaet-i-dagligvarebransjen.pdf,Samarbeidsklimaet i Dagligvarebransjen,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+Samarbeidsklimaet+i+Dagligvarebransjen+2023.pdf,03_Policy_Governance_And_Market,Rapport+om+Samarbeidsklimaet+i+Dagligvarebransjen+2023.pdf,.pdf,1611009,2026-04-20T11:44:36.338Z,2bc5e2a736abde8c63de3fc3053ad835932557e53363d46875cf9111345fa0e6,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/2bc5e2a736-rapport-om-samarbeidsklimaet-i-dagligvarebransjen-2023.pdf,Samarbeidsklimaet i Dagligvarebransjen,2023,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf,03_Policy_Governance_And_Market,Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf,.pdf,1532210,2026-04-20T11:44:32.552Z,6de68c22a6f679cd3acf2184b068f7ca3d8cf8d9dc56606fb0fab2e337fd6fec,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/6de68c22a6-rapport-om-samarbeidsklimaet-i-dagligvarebransjen-2024-final-17-10-24.pdf,Samarbeidsklimaet i Dagligvarebransjen,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf,03_Policy_Governance_And_Market,Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf,.pdf,861533,2026-04-20T11:44:25.698Z,5f07f685a55def29828412cc78536927fed1f039b4debb42ab0a8ad7d61a9fb2,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f07f685a5-rapport-om-samarbeidsklimaet-lokalmat-og-drikke-produsenter-i-dagligvarebransjen-2025.pdf,Samarbeidsklimaet i Dagligvarebransjen - for mindre LOKALMAT- OG DRIKKE Produsenter,2025,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/SAMKEPPNISEFTIRLITID_arsskyrlsla_2024_LOK_02.10.pdf,03_Policy_Governance_And_Market,SAMKEPPNISEFTIRLITID_arsskyrlsla_2024_LOK_02.10.pdf,.pdf,7300545,2026-04-20T11:54:46.510Z,da6ee0591cd2a9ca2ae3b84467bfcf4175d7691cf8be7c1dfe7c3cdd6aacda07,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/da6ee0591c-samkeppniseftirlitid-arsskyrlsla-2024-lok-02-10.pdf,SAMKEPPNISEFTIRLITID arsskyrlsla 2024 LOK 02 10,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Svak konkurranse – som fortjent - Civita.pdf,03_Policy_Governance_And_Market,Svak konkurranse – som fortjent - Civita.pdf,.pdf,4402234,2026-04-20T13:13:43.072Z,357f64eccf76c18bd08f741b19d55f00580a15602f036bc01f5f82f0b3b9a9b4,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/357f64eccf-svak-konkurranse-som-fortjent-civita.pdf,Svak konkurranse – som fortjent - Civita,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf,03_Policy_Governance_And_Market,utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf,.pdf,928797,2026-04-20T13:44:30.380Z,44fd55ef811ea09db4776e1883865551f23ed10677661198c5044ac67b08533a,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/44fd55ef81-utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf,utredning av funksjonelt og regnskapsmessig skille i verdikjeden for mat og dagligvarer,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Utredning-om-prisjusteringsvinduer-2023.pdf,03_Policy_Governance_And_Market,Utredning-om-prisjusteringsvinduer-2023.pdf,.pdf,1464961,2026-04-20T08:20:56.038Z,f853fed352792c0ba466e01d6d90041b5ad71a71c8a12206c28d6e796f33fade,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f853fed352-utredning-om-prisjusteringsvinduer-2023.pdf,Utredning om prisjusteringsvinduer 2023,2023,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf,04_Food_Waste_And_Circularity,100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf,.pdf,8677141,2026-04-20T13:10:42.641Z,742d30b62e5ba053b3a155f29f1ef7da85235f5a09185ab33011d462b0e099f9,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/742d30b62e-100-millioner-br-d-har-blitt-kastet-siden-framtiden-i-vare-hender.pdf,100 millioner brød har blitt kastet siden… | Framtiden i våre hender,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Circular economy butterfly diagram.pdf,04_Food_Waste_And_Circularity,Circular economy butterfly diagram.pdf,.pdf,96383,2026-04-20T12:35:15.988Z,6f0b71cc3648ebe03ae0b93b02412f64debcb038090629fe4f99bd65059efc3b,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/6f0b71cc36-circular-economy-butterfly-diagram.pdf,Foundation circular economy diagram_Feb2019,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Consumer food waste prevention - Food Safety - European Commission.pdf,04_Food_Waste_And_Circularity,Consumer food waste prevention - Food Safety - European Commission.pdf,.pdf,248418,2026-04-20T13:18:21.516Z,a96beaeb90c83ba964e195789ee4fe57a251490a8e0e6b7c6526691de133f42d,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/a96beaeb90-consumer-food-waste-prevention-food-safety-european-commission.pdf,Consumer food waste prevention - Food Safety - European Commission,,eu,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf,04_Food_Waste_And_Circularity,Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf,.pdf,12743082,2026-04-20T13:10:05.000Z,350c203a5cc132773464b7b4e2e0eeb2881133f2d0f585a7014f0bde28285cfe,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/350c203a5c-det-er-mye-penger-a-tjene-pa-matsvinn-framtiden-i-vare-hender.pdf,Det er mye penger å tjene på matsvinn | Framtiden i våre hender,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,04_Food_Waste_And_Circularity,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,.pdf,267026,2026-04-20T13:31:46.398Z,3604b45fb6619908846ec95e17085e670e5ad8b1771110d699bc2208aa08f47c,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/3604b45fb6-efficiency-of-a-novel-food-to-waste-to-food-system-including-anaerobic-digestion-of-food-waste-and-cultivation-of-vegetables-on-digestate-in-a-bubble-insulated-greenhouse-sciencedirect.pdf,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf,04_Food_Waste_And_Circularity,Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf,.pdf,13250423,2026-04-20T13:10:10.224Z,417f05987af95ce1a41c86ab3070cea0cbef754ca59a34c9cbc1b300fa787d3d,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/417f05987a-endelig-er-matsvinnloven-her-framtiden-i-vare-hender.pdf,Endelig er matsvinnloven her! | Framtiden i våre hender,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/EU actions against food waste - Food Safety - European Commission.pdf,04_Food_Waste_And_Circularity,EU actions against food waste - Food Safety - European Commission.pdf,.pdf,453317,2026-04-20T13:18:28.955Z,ed00c3362c18785160ab540884bffe97d532ad7baf23f120c48fa1350342c9ec,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/ed00c3362c-eu-actions-against-food-waste-food-safety-european-commission.pdf,EU actions against food waste - Food Safety - European Commission,,eu,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf,04_Food_Waste_And_Circularity,Food Redistribution in the Nordic Region.pdf,.pdf,2266572,2026-04-20T12:38:00.989Z,20d75deedabfaa76e8ed3093624ca658080c3f86da1eb8078bf5278b9cc18b2c,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/20d75deeda-food-redistribution-in-the-nordic-region.pdf,Food Redistribution in the Nordic Region,,nordic,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Waste - Food Safety - European Commission.pdf,04_Food_Waste_And_Circularity,Food Waste - Food Safety - European Commission.pdf,.pdf,278095,2026-04-20T13:18:14.858Z,7b93e3b48aa95f1708337c2dab47acee627c47f64fe49263ac7064a186501dd5,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7b93e3b48a-food-waste-food-safety-european-commission.pdf,Food Waste - Food Safety - European Commission,,eu,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf,04_Food_Waste_And_Circularity,Food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf,.pdf,173570,2026-04-20T13:28:19.415Z,74682c696a443a149eca1939ed1322e0cc1a6568512611ed2f90389cb6dd6a60,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/74682c696a-food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf,BFJ-11-2023-0982_proof 470..485,2024,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Growing_vegetables_in_the_circular_econo.pdf,04_Food_Waste_And_Circularity,Growing_vegetables_in_the_circular_econo.pdf,.pdf,514029,2026-04-20T13:31:27.067Z,2c18f02796397950eb956f8d8f0032554da1cdfe03812af8ccf04b8412d7fc4b,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/2c18f02796-growing-vegetables-in-the-circular-econo.pdf,Growing vegetables in the circular econo,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home - Foodsharing Copenhagen.pdf,04_Food_Waste_And_Circularity,Home - Foodsharing Copenhagen.pdf,.pdf,3548923,2026-04-20T13:18:44.404Z,b0edf55520fddcd6a847e457bd66d8ff61a34edabc6772dd54d94583a156713b,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/b0edf55520-home-foodsharing-copenhagen.pdf,Home - Foodsharing Copenhagen,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home • PeelPioneers.pdf,04_Food_Waste_And_Circularity,Home • PeelPioneers.pdf,.pdf,664474,2026-04-20T13:04:29.399Z,7aca637a9584ae4b68eef9b47f013097c8d8f248ae6af9e4d961e7c2dc35fd4c,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7aca637a95-home-peelpioneers.pdf,Home • PeelPioneers,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Lokaverkefni_ _Predicting Household Food Waste Reduction_ An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory_ _ Skemman.pdf,04_Food_Waste_And_Circularity,Lokaverkefni_ _Predicting Household Food Waste Reduction_ An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory_ _ Skemman.pdf,.pdf,11080,2026-04-20T13:36:37.377Z,68a9d3818c24d8f5fae02c49f6bf6d7e2709299b98f6154fc12cae9b9560e9ca,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/68a9d3818c-lokaverkefni-predicting-household-food-waste-reduction-an-exploratory-study-comparing-and-contrasting-the-theory-of-planned-behavior-and-value-belief-norm-theory-skemman.pdf,"Lokaverkefni: ""Predicting Household Food Waste Reduction: An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory"" | Skemman",,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Norways-Food-Waste-Reduction-Governance-2022.pdf,04_Food_Waste_And_Circularity,Norways-Food-Waste-Reduction-Governance-2022.pdf,.pdf,184837,2026-04-20T13:28:24.388Z,fa2d4406dbbed4f75b735ef491b45f9c61e12b33b970f6ebde1473142999749b,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/fa2d4406db-norways-food-waste-reduction-governance-2022.pdf,Norway's Food Waste Reduction Governance: From Industry Self‐Regulation to Governmental Regulation?,2022,no,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/NPHarvest – We recover value from your wastewater.pdf,04_Food_Waste_And_Circularity,NPHarvest – We recover value from your wastewater.pdf,.pdf,563707,2026-04-20T13:32:21.623Z,577e8f49cbf68f7961b55667f9f39b547e8626ba23376433f00d5dd50a827141,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/577e8f49cb-npharvest-we-recover-value-from-your-wastewater.pdf,NPHarvest – We recover value from your wastewater,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Policy commitment_ Reducing food waste for a green Nordic Region _ Nordic cooperation.pdf,04_Food_Waste_And_Circularity,Policy commitment_ Reducing food waste for a green Nordic Region _ Nordic cooperation.pdf,.pdf,53794,2026-04-20T13:43:48.906Z,17957bbc99a84ad34ce21c6c3cf1a267f536fd58cc61e29e03bebb7b3a7e5271,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/17957bbc99-policy-commitment-reducing-food-waste-for-a-green-nordic-region-nordic-cooperation.pdf,Policy commitment: Reducing food waste for a green Nordic Region | Nordic cooperation,,nordic,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,04_Food_Waste_And_Circularity,rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,.pdf,11475261,2026-04-20T11:50:10.239Z,54a1846535974e6413155f7f77486deeb8a06c0b05e0202bf05ceebc64ba7631,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,04_Food_Waste_And_Circularity,Resource-Recovery-surplus-bread-thesis.pdf,.pdf,4012727,2026-04-20T13:19:06.476Z,49a5e899db68fe1d43e604d9ea4af35861f04f0d26c56bdaa54f1dbad1f907ff,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/49a5e899db-resource-recovery-surplus-bread-thesis.pdf,Prevention and valorisation of surplus bread at the supplier–retailer interface,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,04_Food_Waste_And_Circularity,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,.pdf,427509,2026-04-20T13:32:02.201Z,523403f1176d423a013a1f198b1440168fccf6d5d48c94d9a15d7ed1a7524269,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/523403f117-response-of-food-waste-anaerobic-digestion-to-the-dimensions-of-micron-biochar-under-30-g-vs-l-organic-loading-rate-focus-on-gas-production-and-microbial-community-structure-sciencedirect.pdf,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS/L organic loading rate: Focus on gas production and microbial community structure - ScienceDirect,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Revised Waste Framework Directive enters into force - Environment.pdf,04_Food_Waste_And_Circularity,Revised Waste Framework Directive enters into force - Environment.pdf,.pdf,1842509,2026-04-20T13:15:55.681Z,39bb397c354e0eb7164f2979352b39ed3db771168c2d3914548d8ee0c08aca8a,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/39bb397c35-revised-waste-framework-directive-enters-into-force-environment.pdf,Revised Waste Framework Directive enters into force - Environment,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf,04_Food_Waste_And_Circularity,Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf,.pdf,7143635,2026-04-20T13:10:46.784Z,0cc262717a401ea40bbed0db2484b9ae1dbb90529c089978e2ebfd195d4300e1,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/0cc262717a-vi-har-et-enormt-skjult-matsvinn-framtiden-i-vare-hender.pdf,Vi har et enormt skjult matsvinn | Framtiden i våre hender,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,04_Food_Waste_And_Circularity,Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,.pdf,3526172,2026-04-20T13:29:05.801Z,7977a8583e97d0d45f4e7b056480fe22b9c03d9705aeb2fcbaec37003a7a1025,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7977a8583e-zero-waste-solutions-in-hospitality-technology-alignment-and-agile-management-practices-for-responsible-consumption-and-production-of-food.pdf,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,,,food-waste-circularity,report,pending,review,,,,,,,
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,05_Foodtech_Alt_Protein_And_Innovation,2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,.pdf,23717294,2026-04-20T11:56:48.459Z,b3c4abd386092e31bf95e83685dd3e9622cdd0edcb1f3c995d525c6aaae14149,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,2023 Danish Action Plan for Plant based Foods,2023,dk,foodtech-alt-protein,report,pending,review,,,,,,,
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Agrifoodtech funding is flat. The real story is where it isn't_.pdf,05_Foodtech_Alt_Protein_And_Innovation,Agrifoodtech funding is flat. The real story is where it isn't_.pdf,.pdf,2116980,2026-04-20T11:55:31.585Z,6d3115f8f6e56c7ed6dfa6ddb19e520e3e72f051847fc363cfdec637bfc2d400,P2,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6d3115f8f6-agrifoodtech-funding-is-flat-the-real-story-is-where-it-isn-t.pdf,Agrifoodtech funding is flat. The real story is where it isn't.,,,foodtech-alt-protein,report,pending,review,,,,,,,
