source_path,import_file_path,source_top_folder,filename,current_title,analysis_title,analysis_title_source,remediation_suggested_title,proposed_doc_type,typed_layer_candidate,recommended_target,confidence,reason,primary_signals,caution_flags,score_source_doc,score_report,score_thesis,review_status,action,notes
Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/227bb60d77-2022-68-emv-og-innovasjon-i-dagligvare-1.pdf,03_Policy_Governance_And_Market,2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,2022 68 EMV og innovasjon i dagligvare 1,2022 68 EMV og innovasjon i dagligvare 1,import_summary,Egne Merkevarer (EMV) og Innovasjon i Dagligvare,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source. Caution: title-remediation weak-title flags: leading_identifier; unapplied title-remediation suggestion exists but was not used for classification.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,title-remediation weak-title flags: leading_identifier | unapplied title-remediation suggestion exists but was not used for classification,1,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/db15012312-20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,03_Policy_Governance_And_Market,20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S,Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2023.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e3f33c5a47-aarsrapport-dagligvaretilsynet-2023.pdf,03_Policy_Governance_And_Market,Aarsrapport-Dagligvaretilsynet-2023.pdf,Årsrapport for Dagligvaretilsynet 2023,Årsrapport for Dagligvaretilsynet 2023,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches arsrapport language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename matches arsrapport language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/283dd0683b-aarsrapport-dagligvaretilsynet-2024.pdf,03_Policy_Governance_And_Market,Aarsrapport-Dagligvaretilsynet-2024.pdf,Årsrapport for Dagligvaretilsynet 2024,Årsrapport for Dagligvaretilsynet 2024,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches arsrapport language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename matches arsrapport language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/9f8d0396d2-afgangsprojekt-hd1-analyse-af-salling-group-as-og-coop-danmark-as.pdf,03_Policy_Governance_And_Market,Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,Afgangsprojekt HD1 Analyse af Salling Group AS og Coop Danmark AS,Afgangsprojekt HD1 Analyse af Salling Group AS og Coop Danmark AS,review_csv,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; title/filename uses analyse language; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | title/filename uses analyse language | review metadata typed_layer_candidate=report-or-source,,1,12,10,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_interim_report_q3_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e268bd87c1-cibus-interim-report-q3-2025.pdf,03_Policy_Governance_And_Market,cibus_interim_report_q3_2025.pdf,cibus interim report q3 2025,cibus interim report q3 2025,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches interim report language; review metadata proposed doc_type=policy_report; title/filename uses report language.,title/filename matches interim report language | review metadata proposed doc_type=policy_report | title/filename uses report language | review metadata typed_layer_candidate=report-or-source,,1,22,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_nordic_annual_report_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc26897195-cibus-nordic-annual-report-2025.pdf,03_Policy_Governance_And_Market,cibus_nordic_annual_report_2025.pdf,cibus nordic annual report 2025,cibus nordic annual report 2025,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches annual report language; review metadata proposed doc_type=policy_report; title/filename uses report language.,title/filename matches annual report language | review metadata proposed doc_type=policy_report | title/filename uses report language | review metadata typed_layer_candidate=report-or-source,,1,22,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_year-end_report_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/069b10c9ac-cibus-year-end-report-2025.pdf,03_Policy_Governance_And_Market,cibus_year-end_report_2025.pdf,cibus year end report 2025,cibus year end report 2025,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches year-end report language; review metadata proposed doc_type=policy_report; title/filename uses report language.,title/filename matches year-end report language | review metadata proposed doc_type=policy_report | title/filename uses report language | review metadata typed_layer_candidate=report-or-source,,1,22,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/19fbdf3210-dagligvare-forskjeller-i-innkj-pspriser-ytterligere-redusert-konkurransetilsynet.pdf,03_Policy_Governance_And_Market,Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet,Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,5,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/dagligvare_rapport.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/82be185d01-dagligvare-rapport.pdf,03_Policy_Governance_And_Market,dagligvare_rapport.pdf,Samarbeidsklimaet i dagligvarebransjen,Samarbeidsklimaet i dagligvarebransjen,review_csv,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches dagligvare rapport language; review metadata proposed doc_type=policy_report; title/filename uses rapport language.,title/filename matches dagligvare rapport language | review metadata proposed doc_type=policy_report | title/filename uses rapport language | review metadata typed_layer_candidate=report-or-source,,1,22,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2024.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/11ed41bcac-dagligvaretilsynet-tildelingsbrev-2024.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2024.pdf,Dagligvaretilsynet - tildelingsbrev for 2024,Dagligvaretilsynet - tildelingsbrev for 2024,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename contains tildelingsbrev language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename contains tildelingsbrev language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7aaa0d71e1-dagligvaretilsynet-tildelingsbrev-2025.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2025.pdf,Dagligvaretilsynet - tildelingsbrev for 2025,Dagligvaretilsynet - tildelingsbrev for 2025,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename contains tildelingsbrev language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename contains tildelingsbrev language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2026.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/8749cc79f9-dagligvaretilsynet-tildelingsbrev-2026.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2026.pdf,Dagligvaretilsynet - tildelingsbrev for 2026,Dagligvaretilsynet - tildelingsbrev for 2026,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename contains tildelingsbrev language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename contains tildelingsbrev language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/8f0116749a-del-2-kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,03_Policy_Governance_And_Market,Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,Del 2 Kartlegging av marginer ved bruk av informasjon pa produktniva,Del 2 Kartlegging av marginer ved bruk av informasjon pa produktniva,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; title/filename uses kartlegging language; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | title/filename uses kartlegging language | review metadata typed_layer_candidate=report-or-source,,1,12,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/bef4051e02-effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,03_Policy_Governance_And_Market,Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,Microsoft Word - Masteroppgave revidert 3.docx,Microsoft Word - Masteroppgave revidert 3.docx,import_summary,,policy_report,report-or-source,Thesis,medium,Explicit thesis signals lead this recommendation: title/filename contains masteroppgave language. Caution: current imported title still looks like a word-export artifact.,title/filename contains masteroppgave language,current imported title still looks like a word-export artifact,5,8,10,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f93b8ffb56-forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet-regjeringen-no.pdf,03_Policy_Governance_And_Market,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no,import_summary,,policy_report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references regjeringen.no | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/fretheimrodnova-etableringshindringer-var-2020_isf_mro-2.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/fe0a3ed77f-fretheimrodnova-etableringshindringer-var-2020-isf-mro-2.pdf,03_Policy_Governance_And_Market,fretheimrodnova-etableringshindringer-var-2020_isf_mro-2.pdf,fretheimrodnova etableringshindringer var 2020 isf mro 2,fretheimrodnova etableringshindringer var 2020 isf mro 2,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/fréttatilkynning-hagar-4f-2024-25-ensk.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7ff714786c-frettatilkynning-hagar-4f-2024-25-ensk.pdf,03_Policy_Governance_And_Market,fréttatilkynning-hagar-4f-2024-25-ensk.pdf,Microsoft Word - Fréttatilkynning Hagar 4F 2024-25 ENSK,Microsoft Word - Fréttatilkynning Hagar 4F 2024-25 ENSK,import_summary,,policy_report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename uses press-announcement language; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source. Caution: current imported title still looks like a word-export artifact.,title/filename uses press-announcement language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,current imported title still looks like a word-export artifact,12,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f0fab2be69-konkurransetilsynets-dagligvarerapport-2024-25.pdf,03_Policy_Governance_And_Market,Konkurransetilsynets-Dagligvarerapport-2024-25.pdf,Konkurransetilsynets Dagligvarerapport 2024 25,Konkurransetilsynets Dagligvarerapport 2024 25,import_summary,,policy_report,report-or-source,Report,high,Report-oriented signals lead this recommendation: title/filename matches dagligvarerapport language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,title/filename matches dagligvarerapport language | review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,18,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/NORDIC_FOOD_MARKETS.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/c76145bbb9-nordic-food-markets.pdf,03_Policy_Governance_And_Market,NORDIC_FOOD_MARKETS.pdf,543348.indd,543348.indd,import_summary,,policy_report,report-or-source,Hold,low,Placeholder or artifact-style title with no strong typed-layer signal. Keep this row out of typed promotion until the title or metadata is remediated.,,,1,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f481fd61e-ny-rapport-om-krav-til-apenhet-i-dagligvarebransjen-regjeringen-no.pdf,03_Policy_Governance_And_Market,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no,import_summary,,policy_report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references regjeringen.no | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,12,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc43df6788-nye-tiltak-for-bedre-konkurranse-i-dagligvarebransjen-regjeringen-no.pdf,03_Policy_Governance_And_Market,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no,import_summary,,policy_report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references regjeringen.no | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Oslo-Economics-Konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/6155c0f06f-oslo-economics-konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,03_Policy_Governance_And_Market,Oslo-Economics-Konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf,Konkurransen i dagligvare-markedet – betydelig bedre enn sitt rykte!,Konkurransen i dagligvare-markedet – betydelig bedre enn sitt rykte!,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,4,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paivittaistavarakauppa-ry-2024-EN.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/aa2340aec7-paivittaistavarakauppa-ry-2024-en.pdf,03_Policy_Governance_And_Market,Paivittaistavarakauppa-ry-2024-EN.pdf,Paivittaistavarakauppa ry 2024 EN,Paivittaistavarakauppa ry 2024 EN,import_summary,,policy_report,report-or-source,Report,medium,Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=policy_report | review metadata typed_layer_candidate=report-or-source,,1,8,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
